 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
             1             2             3             4             5      
     1    3.74982331    1.03579341   -0.02186890    0.01217606   -0.01604577
     2    1.03579341    3.74834249    1.25643205   -0.01593820    0.01206347
     3   -0.02186890    1.25643205    3.84093395    1.25425886   -0.02099173
     4    0.01217606   -0.01593820    1.25425886    3.74695773    1.03382480
     5   -0.01604577    0.01206347   -0.02099173    1.03382480    3.74352792
     6    1.25617564   -0.02114147   -0.02949572   -0.02188474    1.25575803
     7   -0.04977549    1.44503173    0.02713428    0.01628293   -0.00160380
     8    0.00885058    0.01838345    0.03466277    0.00171485    0.00112332
     9   -0.00055828    0.05929049   -0.02916355    0.00751674    0.00560387
    10    0.00794203   -0.03124224    1.29009003   -0.03118438    0.00858331
    11    0.00762201    0.00674250   -0.02819034    0.06082306   -0.00136447
    12   -0.00037634    0.00196517    0.03552484    0.01819580    0.00925593
    13   -0.00121081    0.01619648    0.02858066    1.44456453   -0.05067263
    14    0.01617237   -0.00133389    0.01023441   -0.05019656    1.44319594
    15    0.00196429   -0.00051489   -0.00143077    0.00941551    0.01708202
    16    0.00692924    0.00601712    0.00101406   -0.00012809    0.06027384
    17   -0.03042233    0.00902457   -0.00635895    0.00613378   -0.03061228
    18    0.06012325   -0.00075037    0.00061560    0.00780817    0.00749140
    19    0.01843772    0.00850665   -0.00187550    0.00067500    0.00147620
    20    1.44463931   -0.05053434    0.01014923   -0.00118780    0.01622974
    21    0.00243717    0.00077708    0.00125360    0.00039500    0.00459439
    22    0.00203238   -0.00029612    0.00023007   -0.00006192    0.00204093
    23    0.00483528    0.00098714    0.00087020    0.00026212    0.00220793
    24    0.00093384    0.00462240    0.00392499    0.00246428    0.00022577
    25   -0.00017587    0.00194114   -0.00158183    0.00209599   -0.00027331
    26   -0.00019688    0.00312155    0.00354731    0.00493881    0.00109385
    27    0.00011981    0.00930127    0.00428040    0.00176926    0.00005206
    28    0.00036667    0.00167947    0.00374126    0.00954001    0.00009586
    29    0.00175165    0.00008884   -0.00013125    0.00021884    0.00944969
    30    0.00925284    0.00019925   -0.00014442    0.00008236    0.00163026
    31    0.00025736   -0.00009589    0.00000279   -0.00005243    0.00026337
    32   -0.00008722    0.00019269    0.00012291    0.00028962   -0.00001657
    33   -0.01575046   -0.01894332    0.00706012    0.00114767   -0.00005793
    34    0.00092244    0.00483708    0.00071386   -0.00023538   -0.00015188
    35    0.00000540   -0.00025081    0.00097677    0.00497578    0.00103132
    36   -0.00007549    0.00110673    0.00707117   -0.01920580   -0.01560880
    37    0.00112313   -0.00007633   -0.00028721   -0.01530567   -0.01963236
    38   -0.00021979   -0.00003757    0.00001223    0.00096700    0.00490901
    39    0.00485128    0.00094434    0.00022355   -0.00013970   -0.00011637
    40   -0.01912820   -0.01574814   -0.00027388   -0.00005841    0.00111952
             6             7             8             9            10      
     1    1.25617564   -0.04977549    0.00885058   -0.00055828    0.00794203
     2   -0.02114147    1.44503173    0.01838345    0.05929049   -0.03124224
     3   -0.02949572    0.02713428    0.03466277   -0.02916355    1.29009003
     4   -0.02188474    0.01628293    0.00171485    0.00751674   -0.03118438
     5    1.25575803   -0.00160380    0.00112332    0.00560387    0.00858331
     6    3.84348500    0.00908058   -0.00307269    0.00036847   -0.00330366
     7    0.00908058    3.84640447    1.29147557    0.04284758    0.01262192
     8   -0.00307269    1.29147557    3.97800297    1.50167415   -0.01021829
     9    0.00036847    0.04284758    1.50167415    3.62664882    1.24607039
    10   -0.00330366    0.01262192   -0.01021829    1.24607039    3.77662737
    11    0.00032631   -0.00021369    0.01675407   -0.00742029    1.24117514
    12   -0.00145048    0.01607335    0.00431128    0.01654943   -0.01054768
    13    0.00973089    0.00305529    0.01619563   -0.00027244    0.01226400
    14    0.02872818    0.00804771    0.00025225    0.00577698   -0.00113279
    15    0.03617524    0.00230089   -0.00052068    0.00146195    0.00128316
    16   -0.02886999    0.00528443   -0.00071808    0.01723315   -0.01509480
    17    1.28937726   -0.00133239    0.00512853   -0.01479282    0.02323341
    18   -0.02865777    0.01206102   -0.00026775    0.01405341   -0.01163625
    19    0.03531279    0.00222466    0.00259560    0.00031946    0.00257966
    20    0.02745252    0.03534643    0.00150066    0.01185261   -0.00096863
    21    0.00429919    0.00026926    0.00037023   -0.00401493    0.00417688
    22   -0.00151569    0.00045319    0.00012461    0.00098277   -0.00119116
    23    0.00420167    0.00038583   -0.00069926   -0.00139542    0.00322355
    24    0.00106946    0.00705037   -0.01010277    0.93875257    0.02146083
    25    0.00027751    0.00008936    0.01270619   -0.04886873   -0.02072415
    26    0.00098149   -0.00014763    0.00193235   -0.00140539    0.02098134
    27   -0.00012654    0.00240331    0.11122867   -0.17682091    0.00103233
    28   -0.00005786    0.00058293    0.00503194    0.00142752    0.00127646
    29    0.00390964    0.00105131   -0.00000171    0.00069585   -0.00003576
    30    0.00440167    0.00222011    0.00020776    0.00115402    0.00003281
    31    0.00008987    0.00006557   -0.00002215    0.00000820   -0.00000359
    32   -0.00006515   -0.00006470    0.00039977    0.01298586    0.00005163
