        96

Path index:         1
        24
 -0.610706487596E+01 -0.571973858412E+01 -0.542919112395E-01
 -0.612267738829E+01 -0.574535506797E+01 -0.545045479850E-01
 -0.613830557731E+01 -0.577096199109E+01 -0.547171418514E-01
 -0.615394190911E+01 -0.579656394299E+01 -0.549297133251E-01
 -0.616958622217E+01 -0.582216101883E+01 -0.551422626236E-01
 -0.618523881464E+01 -0.584775303285E+01 -0.553547887996E-01
 -0.620089968988E+01 -0.587333997931E+01 -0.555672917161E-01
 -0.621656876111E+01 -0.589892190769E+01 -0.557797714906E-01
 -0.623224597377E+01 -0.592449884779E+01 -0.559922281530E-01
 -0.624793142589E+01 -0.595007073595E+01 -0.562046612943E-01
 -0.626362553105E+01 -0.597563731464E+01 -0.564170695761E-01
 -0.627932923195E+01 -0.600119800072E+01 -0.566294500771E-01
 -0.629504420326E+01 -0.602675175944E+01 -0.568417976525E-01
 -0.631077286683E+01 -0.605229709303E+01 -0.570541048423E-01
 -0.632651797930E+01 -0.607783229187E+01 -0.572663630665E-01
 -0.634228177745E+01 -0.610335596006E+01 -0.574785651985E-01
 -0.635806515238E+01 -0.612886752746E+01 -0.576907081262E-01
 -0.637386744777E+01 -0.615436738002E+01 -0.579027934675E-01
 -0.638968692527E+01 -0.617985657722E+01 -0.581148262380E-01
 -0.640552143630E+01 -0.620533643833E+01 -0.583268128366E-01
 -0.642136890990E+01 -0.623080823958E+01 -0.585387595607E-01
 -0.643722756228E+01 -0.625627308275E+01 -0.587506719978E-01
 -0.645309586911E+01 -0.628173191115E+01 -0.589625553220E-01
 -0.646490781635E+01 -0.630067670709E+01 -0.591202328069E-01

Path index:         2
        45
 -0.610706487596E+01 -0.571973858412E+01 -0.542919112395E-01
 -0.609145236363E+01 -0.569412210028E+01 -0.540792744941E-01
 -0.607585539914E+01 -0.566849614730E+01 -0.538665955635E-01
 -0.606026637027E+01 -0.564286536624E+01 -0.536538952879E-01
 -0.604468497493E+01 -0.561722994409E+01 -0.534411744107E-01
 -0.602911133707E+01 -0.559158980866E+01 -0.532284325886E-01
 -0.601354523378E+01 -0.556594509847E+01 -0.530156703808E-01
 -0.599798627683E+01 -0.554029605204E+01 -0.528028888041E-01
 -0.598243399550E+01 -0.551464295746E+01 -0.525900892061E-01
 -0.596688788684E+01 -0.548898612182E+01 -0.523772733075E-01
 -0.595134746612E+01 -0.546332584070E+01 -0.521644433741E-01
 -0.593581233435E+01 -0.543766235731E+01 -0.519516025425E-01
 -0.592028227835E+01 -0.541199580210E+01 -0.517387553515E-01
 -0.590475741969E+01 -0.538632610284E+01 -0.515259085253E-01
 -0.588923842424E+01 -0.536065285839E+01 -0.513130719906E-01
 -0.587372675871E+01 -0.533497518436E+01 -0.511002599149E-01
 -0.585822491521E+01 -0.530929157913E+01 -0.508874911641E-01
 -0.584273641939E+01 -0.528359992183E+01 -0.506747881203E-01
 -0.582726537843E+01 -0.525789774904E+01 -0.504621728802E-01
 -0.581181550153E+01 -0.523218284786E+01 -0.502496613388E-01
 -0.579638897602E+01 -0.520645393037E+01 -0.500372580310E-01
 -0.578098586658E+01 -0.518071098673E+01 -0.498249550540E-01
 -0.576560435591E+01 -0.515495513123E+01 -0.496127354656E-01
 -0.575024151890E+01 -0.512918813241E+01 -0.494005784673E-01
 -0.573489411191E+01 -0.510341193979E+01 -0.491884635939E-01
 -0.571955909039E+01 -0.507762837657E+01 -0.489763729473E-01
 -0.570423384022E+01 -0.505183900416E+01 -0.487642918909E-01
 -0.568891622269E+01 -0.502604509763E+01 -0.485522089464E-01
 -0.567360453097E+01 -0.500024767309E+01 -0.483401154233E-01
 -0.565829741923E+01 -0.497444753086E+01 -0.481280050227E-01
 -0.564299383347E+01 -0.494864529717E+01 -0.479158734668E-01
 -0.562769295364E+01 -0.492284145896E+01 -0.477037181249E-01
 -0.561239414710E+01 -0.489703639167E+01 -0.474915376095E-01
 -0.559709693045E+01 -0.487123038207E+01 -0.472793313635E-01
 -0.558180093684E+01 -0.484542364774E+01 -0.470670993140E-01
 -0.556650588741E+01 -0.481961635401E+01 -0.468548416852E-01
 -0.555121156759E+01 -0.479380862809E+01 -0.466425590032E-01
 -0.553591781051E+01 -0.476800056887E+01 -0.464302521435E-01
 -0.552062448849E+01 -0.474219225205E+01 -0.462179221072E-01
 -0.550533150957E+01 -0.471638373210E+01 -0.460055693511E-01
 -0.549003881102E+01 -0.469057504620E+01 -0.457931932566E-01
 -0.547474634488E+01 -0.466476622280E+01 -0.455807928585E-01
 -0.545945407246E+01 -0.463895728483E+01 -0.453683670051E-01
 -0.544416197601E+01 -0.461314824283E+01 -0.451559110959E-01
 -0.541901617734E+01 -0.457070786612E+01 -0.448064548802E-01

Path index:         3
        24
 -0.217981081506E+01 -0.574839238421E+01 -0.454382624890E-01
 -0.216603973917E+01 -0.577504477206E+01 -0.455259564471E-01
 -0.215227689876E+01 -0.580170141383E+01 -0.456135555362E-01
 -0.213851848054E+01 -0.582836033847E+01 -0.457011058771E-01
 -0.212476445090E+01 -0.585502152772E+01 -0.457886082564E-01
 -0.211101503177E+01 -0.588168509510E+01 -0.458760610688E-01
 -0.209727027425E+01 -0.590835106595E+01 -0.459634644820E-01
 -0.208353016382E+01 -0.593501943175E+01 -0.460508192617E-01
 -0.206979467935E+01 -0.596169018060E+01 -0.461381261609E-01
 -0.205606384687E+01 -0.598836332486E+01 -0.462253854070E-01
 -0.204233781365E+01 -0.601503893932E+01 -0.463125960294E-01
 -0.202861695666E+01 -0.604171721675E+01 -0.463997549026E-01
 -0.201490201809E+01 -0.606839853744E+01 -0.464868555842E-01
 -0.200119421079E+01 -0.609508352281E+01 -0.465738874780E-01
 -0.198749516396E+01 -0.612177300680E+01 -0.466608364753E-01
 -0.197380657975E+01 -0.614846785872E+01 -0.467476881553E-01
 -0.196012967464E+01 -0.617516869658E+01 -0.468344327570E-01
 -0.194646475790E+01 -0.620187567216E+01 -0.469210687308E-01
 -0.193281124124E+01 -0.622858847798E+01 -0.470076023675E-01
 -0.191916798937E+01 -0.625530652817E+01 -0.470940444801E-01
 -0.190553371237E+01 -0.628202915963E+01 -0.471804068322E-01
 -0.189190721599E+01 -0.630875575968E+01 -0.472666998425E-01
 -0.187828748954E+01 -0.633548581047E+01 -0.473529314894E-01
 -0.185900744956E+01 -0.637334511441E+01 -0.474749666345E-01

Path index:         4
        45
 -0.217981081506E+01 -0.574839238421E+01 -0.454382624890E-01
