       168

Path index:         1
        24
 -0.609353600727E+01 -0.575869560294E+01 -0.378141585870E+00
 -0.610909042295E+01 -0.578434755295E+01 -0.378335528306E+00
 -0.612466290411E+01 -0.580998854168E+01 -0.378529247623E+00
 -0.614024474052E+01 -0.583562384724E+01 -0.378722852785E+00
 -0.615583572778E+01 -0.586125358927E+01 -0.378916346916E+00
 -0.617143619465E+01 -0.588687756316E+01 -0.379109726496E+00
 -0.618704613235E+01 -0.591249576944E+01 -0.379302992041E+00
 -0.620266542970E+01 -0.593810827112E+01 -0.379496145251E+00
 -0.621829401284E+01 -0.596371510857E+01 -0.379689187349E+00
 -0.623393198148E+01 -0.598931621625E+01 -0.379882117509E+00
 -0.624957979273E+01 -0.601491131004E+01 -0.380074930736E+00
 -0.626523850125E+01 -0.604049973946E+01 -0.380267615121E+00
 -0.628090998639E+01 -0.606608034704E+01 -0.380460149241E+00
 -0.629659696657E+01 -0.609165145678E+01 -0.380652502029E+00
 -0.631230253185E+01 -0.611721115754E+01 -0.380844638179E+00
 -0.632802918073E+01 -0.614275789300E+01 -0.381036529229E+00
 -0.634377789391E+01 -0.616829103439E+01 -0.381228164211E+00
 -0.635954791299E+01 -0.619381102399E+01 -0.381419552163E+00
 -0.637533726781E+01 -0.621931905665E+01 -0.381610716036E+00
 -0.639114353284E+01 -0.624481661569E+01 -0.381801683960E+00
 -0.640696437472E+01 -0.627030513386E+01 -0.381992482936E+00
 -0.642279778688E+01 -0.629578584638E+01 -0.382183136106E+00
 -0.643864205991E+01 -0.632125980782E+01 -0.382373663013E+00
 -0.645039146285E+01 -0.634014333341E+01 -0.382514876059E+00

Path index:         2
        45
 -0.609353600727E+01 -0.575869560294E+01 -0.378141585870E+00
 -0.607798159159E+01 -0.573304365293E+01 -0.377947643435E+00
 -0.606244516499E+01 -0.570738080533E+01 -0.377753475218E+00
 -0.604691796460E+01 -0.568171237529E+01 -0.377559188824E+00
 -0.603139967928E+01 -0.565603855539E+01 -0.377364785656E+00
 -0.601589049680E+01 -0.563035923650E+01 -0.377170260529E+00
 -0.600039020940E+01 -0.560467454840E+01 -0.376975612701E+00
 -0.598489842353E+01 -0.557898473260E+01 -0.376780843310E+00
 -0.596941465529E+01 -0.555329008453E+01 -0.376585954324E+00
 -0.595393838719E+01 -0.552759091921E+01 -0.376390948145E+00
 -0.593846912343E+01 -0.550188753798E+01 -0.376195827539E+00
 -0.592300646180E+01 -0.547618018534E+01 -0.376000595847E+00
 -0.590755019741E+01 -0.545046898673E+01 -0.375805257597E+00
 -0.589210047389E+01 -0.542475385797E+01 -0.375609819695E+00
 -0.587665799120E+01 -0.539903438096E+01 -0.375414293363E+00
 -0.586122425265E+01 -0.537330965634E+01 -0.375218696836E+00
 -0.584580176688E+01 -0.534757818420E+01 -0.375023058178E+00
 -0.583039401865E+01 -0.532183788470E+01 -0.374827416542E+00
 -0.581500497578E+01 -0.529608639734E+01 -0.374631819255E+00
 -0.579963809279E+01 -0.527032167951E+01 -0.374436313396E+00
 -0.578429522104E+01 -0.524454265483E+01 -0.374240934708E+00
 -0.576897608268E+01 -0.521874951847E+01 -0.374045700085E+00
 -0.575367858154E+01 -0.519294354246E+01 -0.373850607500E+00
 -0.573839960831E+01 -0.516712659133E+01 -0.373655641612E+00
 -0.572313582316E+01 -0.514130065685E+01 -0.373460780598E+00
 -0.570788414946E+01 -0.511546756740E+01 -0.373266001312E+00
 -0.569264198085E+01 -0.508962886812E+01 -0.373071282167E+00
 -0.567740720800E+01 -0.506378580722E+01 -0.372876604366E+00
 -0.566217816316E+01 -0.503793937025E+01 -0.372681952217E+00
 -0.564695354220E+01 -0.501209032710E+01 -0.372487313047E+00
 -0.563173233105E+01 -0.498623927590E+01 -0.372292676960E+00
 -0.561651374555E+01 -0.496038667892E+01 -0.372098036492E+00
 -0.560129718378E+01 -0.493453289082E+01 -0.371903386197E+00
 -0.558608218788E+01 -0.490867818128E+01 -0.371708722178E+00
 -0.557086841181E+01 -0.488282275405E+01 -0.371514041657E+00
 -0.555565559347E+01 -0.485696676344E+01 -0.371319342669E+00
 -0.554044353138E+01 -0.483111032804E+01 -0.371124623972E+00
 -0.552523206828E+01 -0.480525354040E+01 -0.370929885010E+00
 -0.551002108352E+01 -0.477939647151E+01 -0.370735125639E+00
 -0.549481049184E+01 -0.475353917155E+01 -0.370540345413E+00
 -0.547960023896E+01 -0.472768167245E+01 -0.370345542971E+00
 -0.546439028537E+01 -0.470182399749E+01 -0.370150716711E+00
 -0.544918060123E+01 -0.467596616423E+01 -0.369955864850E+00
 -0.543397118889E+01 -0.465010817133E+01 -0.369760982004E+00
 -0.540922188684E+01 -0.460802951931E+01 -0.369443753157E+00

Path index:         3
        24
 -0.216644243527E+01 -0.577922312263E+01 -0.387995856947E+00
 -0.215260552548E+01 -0.580584056347E+01 -0.388223388867E+00
 -0.213877648941E+01 -0.583246209275E+01 -0.388451291970E+00
 -0.212495167118E+01 -0.585908581102E+01 -0.388679385270E+00
 -0.211113103261E+01 -0.588571169765E+01 -0.388907663137E+00
 -0.209731478066E+01 -0.591233985914E+01 -0.389136131577E+00
 -0.208350295951E+01 -0.593897031749E+01 -0.389364789694E+00
 -0.206969555085E+01 -0.596560306230E+01 -0.389593634206E+00
 -0.205589252954E+01 -0.599223807965E+01 -0.389822661712E+00
 -0.204209391369E+01 -0.601887537801E+01 -0.390051870520E+00
 -0.202829983347E+01 -0.604551502384E+01 -0.390281262983E+00
 -0.201451063201E+01 -0.607215719368E+01 -0.390510848839E+00
 -0.200072699257E+01 -0.609880223966E+01 -0.390740649293E+00
 -0.198695004013E+01 -0.612545074165E+01 -0.390970700040E+00
 -0.197318129725E+01 -0.615210348369E+01 -0.391201049235E+00
 -0.195942236999E+01 -0.617876129117E+01 -0.391431746558E+00
 -0.194567442458E+01 -0.620542476055E+01 -0.391662825857E+00
 -0.193193778058E+01 -0.623209405066E+01 -0.391894292402E+00
 -0.191821190624E+01 -0.625876888202E+01 -0.392126123765E+00
 -0.190449574226E+01 -0.628544870489E+01 -0.392358281243E+00
 -0.189078807354E+01 -0.631213289102E+01 -0.392590722341E+00
 -0.187708776991E+01 -0.633882085717E+01 -0.392823408680E+00
 -0.186339387319E+01 -0.636551210948E+01 -0.393056309070E+00
 -0.184357032465E+01 -0.640417084616E+01 -0.393393884016E+00

