system,atom,element,fragment,subregion,label
pdi_terminal_functionalized,31,C,terminal_left,alpha,TL_C1
pdi_terminal_functionalized,33,C,terminal_left,beta,TL_C2
pdi_terminal_functionalized,34,C,terminal_left,beta,TL_C3
pdi_terminal_functionalized,35,C,terminal_left,gamma,TL_C4
pdi_terminal_functionalized,36,C,terminal_left,gamma,TL_C5

pdi_terminal_functionalized,32,C,terminal_right,alpha,TR_C1
pdi_terminal_functionalized,37,C,terminal_right,beta,TR_C2
pdi_terminal_functionalized,38,C,terminal_right,beta,TR_C3
pdi_terminal_functionalized,39,C,terminal_right,gamma,TR_C4
pdi_terminal_functionalized,40,C,terminal_right,gamma,TR_C5

pdi_terminal_functionalized,49,H,terminal_left,alpha,TL_H1
pdi_terminal_functionalized,50,H,terminal_right,alpha,TL_H2
pdi_terminal_functionalized,51,H,terminal_left,beta,TL_H3
pdi_terminal_functionalized,52,H,terminal_left,beta,TL_H4
pdi_terminal_functionalized,53,H,terminal_left,beta,TL_H5
pdi_terminal_functionalized,54,H,terminal_left,beta,TL_H6
pdi_terminal_functionalized,55,H,terminal_left,gamma,TL_H7
pdi_terminal_functionalized,56,H,terminal_left,gamma,TL_H8
pdi_terminal_functionalized,57,H,terminal_left,gamma,TL_H9
pdi_terminal_functionalized,58,H,terminal_left,gamma,TL_H10
pdi_terminal_functionalized,59,H,terminal_left,gamma,TL_H11

pdi_terminal_functionalized,60,H,terminal_left,gamma,TR_H1
pdi_terminal_functionalized,61,H,terminal_right,beta,TR_H2
pdi_terminal_functionalized,62,H,terminal_right,beta,TR_H3
pdi_terminal_functionalized,63,H,terminal_right,beta,TR_H4
pdi_terminal_functionalized,64,H,terminal_right,beta,TR_H5
pdi_terminal_functionalized,65,H,terminal_right,gamma,TR_H6
pdi_terminal_functionalized,66,H,terminal_right,gamma,TR_H7
pdi_terminal_functionalized,67,H,terminal_right,gamma,TR_H8
pdi_terminal_functionalized,68,H,terminal_right,gamma,TR_H9
pdi_terminal_functionalized,69,H,terminal_right,gamma,TR_H10
pdi_terminal_functionalized,70,H,terminal_right,gamma,TR_H11
