system,system_label,source_output,job_normal_termination,multiplicity,multiplicity_label,global_state_number,local_state_index,state_label,state_energy_hartree,state_energy_ev,state_energy_cm1,nto_block_energy_ev,nto_filename,nto_path,nto_file_exists,nto_print_threshold,pair_index,hole_orbital,electron_orbital,weight,cumulative_weight,parse_warning
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,1,99a,100a,0.95548,0.95548,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,2,98a,101a,0.019622,0.975102,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,3,97a,102a,0.007424,0.982526,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,4,96a,103a,0.003187,0.9857130000000001,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,5,95a,104a,0.001965,0.9876780000000001,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,6,94a,105a,0.001108,0.988786,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,7,93a,106a,0.000918,0.989704,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,8,92a,107a,0.000679,0.990383,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,9,91a,108a,0.000613,0.990996,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10153837717133474,2.763,22285.098085815,2.763,pdi_S1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/s1/pdi_S1_nto.mwfn,True,,10,90a,109a,0.000609,0.991605,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,1,99a,100a,0.908209,0.908209,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,2,98a,101a,0.041624,0.949833,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,3,97a,102a,0.028193,0.9780260000000001,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,4,96a,103a,0.005478,0.983504,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,5,95a,104a,0.004998,0.988502,
