triplet,singlet,x_re,x_im,y_re,y_im,z_re,z_im,soc_cm-1
1,0,0.0,-0.0,0.0,0.01,-0.0,0.0,0.01
1,1,0.0,-0.0,0.0,-0.0,-0.0,0.09,0.09
1,2,0.0,-0.0,0.0,0.01,-0.0,0.04,0.04123105625617661
1,3,0.0,0.01,0.0,0.19,-0.0,0.0,0.1902629759044045
1,4,0.0,-0.0,0.0,-0.0,-0.0,-0.03,0.03
1,5,0.0,-0.01,0.0,0.05,-0.0,0.01,0.05196152422706632
1,6,0.0,-0.0,0.0,0.01,-0.0,-0.04,0.04123105625617661
1,7,0.0,-0.01,0.0,-0.07,-0.0,-0.02,0.07348469228349536
1,8,0.0,0.09,0.0,0.02,-0.0,-10.27,10.270413818342472
1,9,0.0,0.01,0.0,-0.05,-0.0,-0.01,0.05196152422706632
1,10,0.0,-0.0,0.0,0.02,-0.0,0.09,0.09219544457292887
2,0,0.0,0.01,0.0,-0.0,-0.0,0.1,0.1004987562112089
2,1,0.0,0.0,0.0,-0.01,-0.0,-0.01,0.01414213562373095
2,2,0.0,0.01,0.0,0.08,-0.0,0.0,0.0806225774829855
2,3,0.0,0.0,0.0,0.01,-0.0,-0.0,0.01
2,4,0.0,-0.02,0.0,0.09,-0.0,0.0,0.09219544457292887
2,5,0.0,-0.0,0.0,-0.0,-0.0,0.09,0.09
2,6,0.0,-0.02,0.0,0.41,-0.0,0.01,0.41060930335295615
2,7,0.0,-0.09,0.0,-0.03,-0.0,11.72,11.720383952755132
2,8,0.0,-0.0,0.0,0.05,-0.0,-0.01,0.050990195135927854
2,9,0.0,0.0,0.0,-0.0,-0.0,-0.14,0.14
2,10,0.0,0.0,0.0,0.23,-0.0,0.0,0.23
3,0,0.0,-0.06,0.0,-0.31,-0.0,0.0,0.3157530680769389
3,1,0.0,-0.0,0.0,0.01,-0.0,-0.0,0.01
3,2,0.0,-0.0,0.0,0.01,-0.0,0.22,0.2202271554554524
3,3,0.0,-0.01,0.0,0.13,-0.0,0.01,0.1307669683062202
3,4,0.0,0.0,0.0,-0.01,-0.0,-0.1,0.1004987562112089
3,5,0.0,-0.04,0.0,0.33,-0.0,0.0,0.33241540277189324
3,6,0.0,0.0,0.0,-0.01,-0.0,-0.01,0.01414213562373095
3,7,0.0,-0.02,0.0,4.43,-0.0,0.01,4.430056433049131
3,8,0.0,-0.0,0.0,-0.03,-0.0,-0.02,0.03605551275463989
3,9,0.0,0.01,0.0,-0.36,-0.0,-0.01,0.3602776706930364
3,10,0.0,-0.0,0.0,0.01,-0.0,0.31,0.3101612483854165
4,0,0.0,0.06,0.0,-0.01,-0.0,0.02,0.06403124237432849
4,1,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
4,2,0.0,0.0,0.0,-0.0,-0.0,-0.07,0.07
4,3,0.0,0.0,0.0,-0.07,-0.0,-0.0,0.07
4,4,0.0,-0.0,0.0,0.01,-0.0,0.15,0.15033296378372907
4,5,0.0,0.03,0.0,-0.13,-0.0,-0.0,0.13341664064126335
4,6,0.0,0.0,0.0,-0.0,-0.0,-0.09,0.09
4,7,0.0,-0.05,0.0,-4.15,-0.0,0.04,4.150493946508054
4,8,0.0,0.0,0.0,-0.04,-0.0,-0.09,0.09848857801796104
4,9,0.0,0.01,0.0,0.13,-0.0,-0.0,0.130384048104053
4,10,0.0,0.0,0.0,-0.0,-0.0,-0.21,0.21
5,0,0.0,0.0,0.0,0.0,-0.0,0.04,0.04
5,1,0.0,0.05,0.0,-0.06,-0.0,-0.0,0.07810249675906655
5,2,0.0,0.0,0.0,0.02,-0.0,-0.0,0.02
5,3,0.0,0.0,0.0,0.0,-0.0,-0.09,0.09
5,4,0.0,-0.01,0.0,-0.01,-0.0,0.0,0.01414213562373095
5,5,0.0,-0.0,0.0,-0.01,-0.0,-0.01,0.01414213562373095
5,6,0.0,-0.0,0.0,0.01,-0.0,0.0,0.01
5,7,0.0,-0.0,0.0,0.01,-0.0,0.01,0.01414213562373095
5,8,0.0,0.08,0.0,2.79,-0.0,-0.03,2.791307937150611
5,9,0.0,-0.0,0.0,-0.0,-0.0,0.02,0.02
5,10,0.0,0.0,0.0,-0.04,-0.0,-0.0,0.04
6,0,0.0,-0.01,0.0,0.01,-0.0,-0.01,0.017320508075688773
6,1,0.0,-0.01,0.0,0.07,-0.0,0.01,0.07141428428542851
6,2,0.0,-0.01,0.0,0.08,-0.0,0.01,0.08124038404635961
6,3,0.0,-0.0,0.0,0.02,-0.0,0.19,0.191049731745428
6,4,0.0,0.02,0.0,-0.11,-0.0,0.0,0.11180339887498948
6,5,0.0,-0.0,0.0,0.02,-0.0,0.02,0.0282842712474619
6,6,0.0,0.03,0.0,-0.23,-0.0,-0.0,0.23194827009486405
6,7,0.0,-0.0,0.0,-0.02,-0.0,-0.01,0.022360679774997897
6,8,0.0,0.02,0.0,-8.83,-0.0,0.0,8.830022650027574
6,9,0.0,0.0,0.0,-0.0,-0.0,-0.01,0.01
6,10,0.0,-0.01,0.0,0.2,-0.0,0.0,0.2002498439450079
7,0,0.0,0.09,0.0,-0.16,-0.0,0.01,0.18384776310850237
7,1,0.0,-0.0,0.0,-0.02,-0.0,-0.02,0.0282842712474619
7,2,0.0,-0.0,0.0,0.01,-0.0,0.18,0.18027756377319948
7,3,0.0,0.0,0.0,0.08,-0.0,0.0,0.08
7,4,0.0,-0.0,0.0,0.01,-0.0,0.18,0.18027756377319948
7,5,0.0,-0.04,0.0,-0.03,-0.0,0.01,0.05099019513592785
7,6,0.0,-0.01,0.0,0.03,-0.0,1.06,1.0604715932074749
7,7,0.0,-0.02,0.0,1.27,-0.0,0.0,1.2701574705523722
7,8,0.0,-0.0,0.0,-0.01,-0.0,0.0,0.01
7,9,0.0,0.02,0.0,-0.12,-0.0,-0.01,0.12206555615733702
7,10,0.0,-0.0,0.0,0.01,-0.0,0.19,0.1902629759044045
8,0,0.0,-0.52,0.0,0.03,-0.0,62.21,62.21218047938844
8,1,0.0,-0.0,0.0,0.07,-0.0,0.02,0.07280109889280519
8,2,0.0,0.06,0.0,2.72,-0.0,-0.04,2.7209557144503473
8,3,0.0,0.0,0.0,-0.0,-0.0,-0.01,0.01
8,4,0.0,-0.04,0.0,3.14,-0.0,0.01,3.1402706889693444
8,5,0.0,0.09,0.0,0.02,-0.0,-11.21,11.210379119369692
8,6,0.0,0.02,0.0,0.98,-0.0,-0.01,0.9802550688468792
8,7,0.0,-0.0,0.0,-0.0,-0.0,-0.01,0.01
8,8,0.0,0.11,0.0,0.01,-0.0,0.0,0.11045361017187261
8,9,0.0,0.03,0.0,0.01,-0.0,-4.28,4.280116820835619
8,10,0.0,-0.16,0.0,-2.13,-0.0,0.02,2.136094567195001
9,0,0.0,-0.17,0.0,0.14,-0.0,0.18,0.2844292530665578
9,1,0.0,0.1,0.0,0.02,-0.0,-10.63,10.630489170306323
9,2,0.0,0.0,0.0,-0.04,-0.0,-0.08,0.08944271909999159
9,3,0.0,0.1,0.0,1.08,-0.0,-0.03,1.085034561661517
9,4,0.0,0.0,0.0,0.03,-0.0,0.02,0.03605551275463989
9,5,0.0,-0.02,0.0,0.05,-0.0,-0.02,0.057445626465380296
9,6,0.0,-0.0,0.0,-0.02,-0.0,-0.02,0.0282842712474619
9,7,0.0,0.11,0.0,0.01,-0.0,0.0,0.11045361017187261
9,8,0.0,-0.01,0.0,-0.01,-0.0,-0.07,0.07141428428542851
9,9,0.0,-0.02,0.0,-0.01,-0.0,0.01,0.024494897427831782
9,10,0.0,-0.0,0.0,0.01,-0.0,0.04,0.04123105625617661
10,0,0.0,-0.06,0.0,-0.3,-0.0,0.02,0.3065941943351178
10,1,0.0,-0.0,0.0,0.01,-0.0,0.02,0.022360679774997897
10,2,0.0,-0.0,0.0,0.01,-0.0,0.16,0.16031219541881397
10,3,0.0,0.0,0.0,0.21,-0.0,0.01,0.21023796041628637
10,4,0.0,0.0,0.0,-0.0,-0.0,-0.38,0.38
10,5,0.0,-0.01,0.0,0.46,-0.0,-0.0,0.46010868281309364
10,6,0.0,0.0,0.0,-0.01,-0.0,-0.16,0.16031219541881397
10,7,0.0,0.01,0.0,7.34,-0.0,0.0,7.34000681198594
10,8,0.0,0.0,0.0,-0.02,-0.0,0.01,0.022360679774997897
10,9,0.0,0.02,0.0,-0.29,-0.0,-0.01,0.2908607914449797
10,10,0.0,-0.01,0.0,0.02,-0.0,0.97,0.9702576977277737
