triplet,singlet,x_re,x_im,y_re,y_im,z_re,z_im,soc_cm-1
1,0,0.0,-0.02,0.0,-0.0,-0.0,0.0,0.02
1,1,0.0,0.01,0.0,-0.01,-0.0,0.05,0.051961524227066326
1,2,0.0,0.0,0.0,0.02,-0.0,0.03,0.03605551275463989
1,3,0.0,0.01,0.0,0.01,-0.0,-0.01,0.017320508075688773
1,4,0.0,0.0,0.0,0.01,-0.0,-0.02,0.022360679774997897
1,5,0.0,0.0,0.0,0.03,-0.0,0.01,0.03162277660168379
1,6,0.0,-0.07,0.0,0.0,-0.0,-0.16,0.1746424919657298
1,7,0.0,-0.03,0.0,-1.63,-0.0,10.09,10.220856128524655
1,8,0.0,0.01,0.0,0.16,-0.0,-0.94,0.9535722311393091
1,9,0.0,-0.04,0.0,0.02,-0.0,0.0,0.044721359549995794
1,10,0.0,0.0,0.0,-4.38,-0.0,-3.69,5.727172077037672
2,0,0.0,-0.09,0.0,0.03,-0.0,0.01,0.09539392014169455
2,1,0.0,-0.0,0.0,-0.05,-0.0,-0.0,0.05
2,2,0.0,0.0,0.0,-0.12,-0.0,-0.01,0.12041594578792295
2,3,0.0,0.0,0.0,0.0,-0.0,0.03,0.03
2,4,0.0,0.02,0.0,-0.07,-0.0,0.0,0.07280109889280519
2,5,0.0,0.0,0.0,-0.02,-0.0,0.06,0.06324555320336758
2,6,0.0,-0.01,0.0,2.2,-0.0,-11.46,11.669263044425728
2,7,0.0,0.09,0.0,0.09,-0.0,-0.16,0.20445048300260873
2,8,0.0,0.04,0.0,0.3,-0.0,-0.53,0.6103277807866851
2,9,0.0,-0.01,0.0,-4.86,-0.0,-4.95,6.937016649828657
2,10,0.0,-0.04,0.0,0.05,-0.0,0.01,0.06480740698407861
3,0,0.0,-0.02,0.0,-0.55,-0.0,0.01,0.5504543577809154
3,1,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
3,2,0.0,0.0,0.0,-0.03,-0.0,0.19,0.19235384061671346
3,3,0.0,-0.0,0.0,0.01,-0.0,-0.03,0.03162277660168379
3,4,0.0,0.02,0.0,-0.0,-0.0,0.03,0.03605551275463989
3,5,0.0,-0.03,0.0,-0.1,-0.0,-0.03,0.10862780491200216
3,6,0.0,-0.01,0.0,4.05,-0.0,-2.74,4.889805722112076
3,7,0.0,0.01,0.0,0.09,-0.0,-0.01,0.09110433579144298
3,8,0.0,0.0,0.0,0.19,-0.0,-0.11,0.21954498400100148
3,9,0.0,-0.0,0.0,1.66,-0.0,5.76,5.994430748619922
3,10,0.0,0.04,0.0,0.01,-0.0,0.03,0.05099019513592785
4,0,0.0,-0.16,0.0,-0.07,-0.0,0.0,0.1746424919657298
4,1,0.0,0.0,0.0,-0.0,-0.0,-0.04,0.04
4,2,0.0,0.0,0.0,0.01,-0.0,-0.0,0.01
4,3,0.0,-0.0,0.0,-0.01,-0.0,0.01,0.01414213562373095
4,4,0.0,-0.01,0.0,0.02,-0.0,-0.14,0.14177446878757827
4,5,0.0,0.01,0.0,0.08,-0.0,0.0,0.0806225774829855
4,6,0.0,-0.02,0.0,-3.42,-0.0,1.66,3.801631228827962
4,7,0.0,0.0,0.0,-0.05,-0.0,0.07,0.08602325267042628
4,8,0.0,0.01,0.0,-0.16,-0.0,0.13,0.20639767440550294
4,9,0.0,0.01,0.0,-1.5,-0.0,-4.08,4.347010466976126
4,10,0.0,-0.02,0.0,0.02,-0.0,0.04,0.048989794855663564
5,0,0.0,0.04,0.0,-0.0,-0.0,-0.06,0.07211102550927978
5,1,0.0,-0.04,0.0,0.06,-0.0,-0.0,0.07211102550927978
5,2,0.0,0.01,0.0,-0.02,-0.0,0.01,0.024494897427831782
5,3,0.0,0.0,0.0,-0.02,-0.0,0.04,0.044721359549995794
5,4,0.0,0.0,0.0,0.01,-0.0,0.0,0.01
5,5,0.0,0.0,0.0,0.01,-0.0,0.0,0.01
5,6,0.0,-0.02,0.0,-0.05,-0.0,-0.02,0.057445626465380296
5,7,0.0,0.03,0.0,2.67,-0.0,-1.25,2.9482706795679396
5,8,0.0,0.0,0.0,-0.21,-0.0,0.12,0.24186773244895649
5,9,0.0,-0.0,0.0,0.0,-0.0,0.01,0.01
5,10,0.0,0.01,0.0,-1.0,-0.0,-3.44,3.5824153863001422
6,0,0.0,0.19,0.0,-0.65,-0.0,0.23,0.715192281837549
6,1,0.0,-0.01,0.0,-0.03,-0.0,0.1,0.10488088481701517
6,2,0.0,-0.0,0.0,0.0,-0.0,0.07,0.07
6,3,0.0,0.01,0.0,-0.06,-0.0,-0.03,0.06782329983125268
6,4,0.0,0.01,0.0,-0.02,-0.0,-0.02,0.03
6,5,0.0,0.01,0.0,0.2,-0.0,0.07,0.21213203435596428
6,6,0.0,-0.04,0.0,4.22,-0.0,-4.1,5.88387627334226
6,7,0.0,0.03,0.0,-0.05,-0.0,-0.0,0.05830951894845301
6,8,0.0,-0.03,0.0,0.3,-0.0,-0.54,0.6184658438426491
6,9,0.0,-0.07,0.0,2.41,-0.0,8.74,9.066454654383929
6,10,0.0,0.06,0.0,0.06,-0.0,0.22,0.23579652245103191
7,0,0.0,-0.02,0.0,-0.02,-0.0,0.08,0.08485281374238571
7,1,0.0,0.03,0.0,-0.02,-0.0,-0.11,0.11575836902790225
7,2,0.0,-0.0,0.0,0.05,-0.0,-0.02,0.05385164807134505
7,3,0.0,0.02,0.0,-0.05,-0.0,0.02,0.057445626465380296
7,4,0.0,0.03,0.0,0.02,-0.0,-0.03,0.04690415759823429
7,5,0.0,-0.0,0.0,0.04,-0.0,-0.0,0.04
7,6,0.0,0.05,0.0,-0.02,-0.0,0.03,0.061644140029689765
