system,system_label,state_label,multiplicity,multiplicity_label,excitation_energy_ev,wavelength_nm,oscillator_strength,dominant_transitions
pdi,Parent PDI,S1,singlet,Singlet,2.763,448.7,1.3105,HOMO → LUMO (95.3%)
pdi,Parent PDI,S2,singlet,Singlet,3.861,321.2,0.0,HOMO-1 → LUMO (71.1%); HOMO-4 → LUMO (9.5%); HOMO → LUMO+3 (9.0%)
pdi,Parent PDI,S3,singlet,Singlet,4.044,306.6,0.2045,HOMO-2 → LUMO (74.7%); HOMO → LUMO+4 (10.5%); HOMO-1 → LUMO+1 (6.1%)
pdi,Parent PDI,S4,singlet,Singlet,4.105,302.0,0.0,HOMO-4 → LUMO (60.5%); HOMO → LUMO+2 (21.0%); HOMO → LUMO+3 (8.2%)
pdi,Parent PDI,S5,singlet,Singlet,4.396,282.0,0.0,HOMO → LUMO+1 (63.1%); HOMO-3 → LUMO (28.4%)
pdi,Parent PDI,S6,singlet,Singlet,4.591,270.1,0.0,HOMO → LUMO+2 (68.7%); HOMO-4 → LUMO (24.4%)
pdi,Parent PDI,S7,singlet,Singlet,4.634,267.6,0.0,HOMO-5 → LUMO (58.8%); HOMO-6 → LUMO+1 (23.1%); HOMO-5 → LUMO+5 (6.1%)
pdi,Parent PDI,S8,singlet,Singlet,4.636,267.5,0.0006,HOMO-6 → LUMO (58.6%); HOMO-5 → LUMO+1 (23.2%); HOMO-6 → LUMO+5 (6.2%)
pdi,Parent PDI,S9,singlet,Singlet,4.802,258.2,0.0,HOMO-3 → LUMO (64.0%); HOMO → LUMO+1 (28.3%)
pdi,Parent PDI,S10,singlet,Singlet,4.941,250.9,0.0,HOMO → LUMO+3 (70.2%); HOMO-1 → LUMO (12.9%)
pdi,Parent PDI,S11,singlet,Singlet,4.983,248.8,0.0,HOMO-9 → LUMO (58.2%); HOMO-10 → LUMO+1 (19.0%); HOMO-6 → LUMO+2 (7.2%); HOMO-5 → LUMO+6 (6.1%)
pdi,Parent PDI,S12,singlet,Singlet,5.023,246.9,0.0,HOMO-10 → LUMO (53.3%); HOMO-9 → LUMO+1 (20.2%); HOMO-5 → LUMO+2 (8.4%); HOMO-6 → LUMO+6 (6.9%)
pdi,Parent PDI,S13,singlet,Singlet,5.315,233.3,0.0179,HOMO-7 → LUMO (30.4%); HOMO → LUMO+4 (26.9%); HOMO-4 → LUMO+1 (8.6%); HOMO-12 → LUMO (7.3%); HOMO-8 → LUMO+1 (7.2%)
pdi,Parent PDI,S14,singlet,Singlet,5.603,221.3,0.0,HOMO-11 → LUMO (89.6%)
pdi,Parent PDI,S15,singlet,Singlet,5.721,216.7,0.0,HOMO-8 → LUMO (72.1%); HOMO-7 → LUMO+1 (14.8%)
pdi,Parent PDI,S16,singlet,Singlet,5.759,215.3,0.0026,HOMO-1 → LUMO+2 (48.8%); HOMO-4 → LUMO+3 (18.8%); HOMO → LUMO+5 (11.8%); HOMO-13 → LUMO (6.7%); HOMO-2 → LUMO+6 (5.6%)
pdi,Parent PDI,S17,singlet,Singlet,5.795,213.9,1.1441,HOMO-7 → LUMO (31.4%); HOMO → LUMO+4 (20.1%); HOMO → LUMO+6 (15.7%); HOMO-3 → LUMO+2 (12.4%); HOMO-2 → LUMO (5.5%)
pdi,Parent PDI,S18,singlet,Singlet,5.932,209.0,0.2434,HOMO → LUMO+5 (52.2%); HOMO-3 → LUMO+1 (23.2%); HOMO-13 → LUMO (10.0%); HOMO-1 → LUMO+2 (7.1%)
pdi,Parent PDI,S19,singlet,Singlet,5.986,207.1,0.0,HOMO-2 → LUMO+2 (67.4%); HOMO-4 → LUMO+4 (10.2%); HOMO-1 → LUMO+6 (8.1%)
pdi,Parent PDI,S20,singlet,Singlet,5.995,206.8,0.2985,HOMO → LUMO+6 (39.4%); HOMO-1 → LUMO+1 (14.5%); HOMO → LUMO+4 (13.8%); HOMO-2 → LUMO (12.8%); HOMO-3 → LUMO+2 (8.7%)
pdi,Parent PDI,S21,singlet,Singlet,6.056,204.7,0.0,HOMO-14 → LUMO (62.8%); HOMO-9 → LUMO (9.4%); HOMO-6 → LUMO+2 (6.6%)
pdi,Parent PDI,S22,singlet,Singlet,6.094,203.4,0.0067,HOMO-12 → LUMO (36.1%); HOMO-4 → LUMO+1 (35.7%); HOMO-7 → LUMO (12.2%)
pdi,Parent PDI,S23,singlet,Singlet,6.273,197.7,0.7851,HOMO-1 → LUMO+1 (62.0%); HOMO → LUMO+4 (13.4%); HOMO-2 → LUMO+5 (6.8%)
pdi,Parent PDI,S24,singlet,Singlet,6.295,197.0,0.0,HOMO-2 → LUMO+1 (81.7%); HOMO-1 → LUMO+5 (5.6%)
pdi,Parent PDI,S25,singlet,Singlet,6.309,196.5,0.439,HOMO-4 → LUMO+2 (72.9%); HOMO-1 → LUMO+3 (11.4%)
pdi,Parent PDI,S26,singlet,Singlet,6.334,195.7,0.0312,HOMO → LUMO+7 (48.7%); HOMO → LUMO+12 (27.0%); HOMO → LUMO+10 (11.1%)
pdi,Parent PDI,S27,singlet,Singlet,6.363,194.9,0.0003,HOMO-15 → LUMO (73.9%); HOMO-11 → LUMO+1 (18.8%)
pdi,Parent PDI,S28,singlet,Singlet,6.493,191.0,1.6263,HOMO-1 → LUMO+3 (23.6%); HOMO-13 → LUMO (18.8%); HOMO-4 → LUMO+2 (14.0%); HOMO-3 → LUMO+1 (13.7%); HOMO-2 → LUMO+4 (9.5%); HOMO → LUMO+5 (8.3%)
pdi,Parent PDI,S29,singlet,Singlet,6.587,188.2,0.0149,HOMO-12 → LUMO (34.5%); HOMO-4 → LUMO+1 (25.2%); HOMO-3 → LUMO+2 (23.9%); HOMO → LUMO+6 (6.7%)
pdi,Parent PDI,S30,singlet,Singlet,6.633,186.9,0.0,HOMO-2 → LUMO+3 (43.3%); HOMO → LUMO+14 (25.0%); HOMO-1 → LUMO+4 (15.3%); HOMO-3 → LUMO+5 (5.9%)
pdi,Parent PDI,T1,triplet,Triplet,1.617,766.8,,HOMO → LUMO (89.6%)
pdi,Parent PDI,T2,triplet,Triplet,2.949,420.4,,HOMO-3 → LUMO (49.2%); HOMO → LUMO+1 (40.4%)
pdi,Parent PDI,T3,triplet,Triplet,3.078,402.8,,HOMO-4 → LUMO (46.3%); HOMO → LUMO+2 (37.8%)
pdi,Parent PDI,T4,triplet,Triplet,3.294,376.4,,HOMO-1 → LUMO (79.7%); HOMO-2 → LUMO+1 (9.4%)
pdi,Parent PDI,T5,triplet,Triplet,3.388,366.0,,HOMO-2 → LUMO (82.5%); HOMO-1 → LUMO+1 (11.7%)
pdi,Parent PDI,T6,triplet,Triplet,4.196,295.5,,HOMO-12 → LUMO (24.4%); HOMO-3 → LUMO+2 (22.3%); HOMO → LUMO+6 (21.3%); HOMO-4 → LUMO+1 (16.7%)
pdi,Parent PDI,T7,triplet,Triplet,4.245,292.1,,HOMO → LUMO+3 (86.0%); HOMO-3 → LUMO+4 (6.8%)
pdi,Parent PDI,T8,triplet,Triplet,4.339,285.7,,HOMO-5 → LUMO (53.1%); HOMO-6 → LUMO+1 (23.9%); HOMO-5 → LUMO+5 (7.4%)
pdi,Parent PDI,T9,triplet,Triplet,4.341,285.6,,HOMO-6 → LUMO (53.0%); HOMO-5 → LUMO+1 (23.9%); HOMO-6 → LUMO+5 (7.4%)
pdi,Parent PDI,T10,triplet,Triplet,4.413,281.0,,HOMO → LUMO+2 (35.5%); HOMO-4 → LUMO (35.5%); HOMO-8 → LUMO (11.9%); HOMO-7 → LUMO+1 (7.6%)
pdi,Parent PDI,T11,triplet,Triplet,4.479,276.8,,HOMO-13 → LUMO (26.6%); HOMO-1 → LUMO+2 (19.1%); HOMO-3 → LUMO+1 (18.4%); HOMO → LUMO+5 (17.7%)
pdi,Parent PDI,T12,triplet,Triplet,4.546,272.7,,HOMO → LUMO+1 (44.9%); HOMO-3 → LUMO (25.1%); HOMO-2 → LUMO+3 (11.2%); HOMO-1 → LUMO+4 (7.0%)
pdi,Parent PDI,T13,triplet,Triplet,4.627,268.0,,HOMO → LUMO+4 (54.9%); HOMO-7 → LUMO (13.7%); HOMO-3 → LUMO+3 (11.5%); HOMO-4 → LUMO+1 (6.1%)
pdi,Parent PDI,T14,triplet,Triplet,4.673,265.3,,HOMO-9 → LUMO (51.2%); HOMO-10 → LUMO+1 (20.1%); HOMO-6 → LUMO+2 (8.6%); HOMO-5 → LUMO+6 (7.5%)
pdi,Parent PDI,T15,triplet,Triplet,4.702,263.7,,HOMO-7 → LUMO (41.0%); HOMO → LUMO+4 (20.7%); HOMO-8 → LUMO+1 (17.7%); HOMO-7 → LUMO+5 (5.9%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S1,singlet,Singlet,2.748,451.2,1.3875,HOMO → LUMO (95.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S2,singlet,Singlet,3.865,320.8,0.0,HOMO-1 → LUMO (67.5%); HOMO-3 → LUMO (11.8%); HOMO → LUMO+3 (9.8%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S3,singlet,Singlet,4.046,306.5,0.1699,HOMO-2 → LUMO (74.2%); HOMO → LUMO+4 (10.9%); HOMO-1 → LUMO+1 (6.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S4,singlet,Singlet,4.063,305.1,0.0,HOMO-3 → LUMO (54.4%); HOMO → LUMO+2 (21.7%); HOMO → LUMO+3 (6.5%); HOMO-1 → LUMO (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S5,singlet,Singlet,4.37,283.7,0.0,HOMO → LUMO+1 (64.4%); HOMO-4 → LUMO (26.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S6,singlet,Singlet,4.551,272.5,0.0,HOMO-7 → LUMO (35.6%); HOMO-9 → LUMO (21.1%); HOMO-8 → LUMO+1 (14.0%); HOMO-10 → LUMO+1 (8.0%)
