system,system_label,multiplicity,multiplicity_label,state_index,state_label,orca_state_index,source_file,excitation_energy_au,excitation_energy_ev,excitation_energy_cm1,wavelength_nm,spin_expectation_s2,oscillator_strength,transition_dipole_strength_au2,transition_dipole_x_au,transition_dipole_y_au,transition_dipole_z_au,dominant_transitions
pdi,Parent PDI,singlet,Singlet,1,S1,1,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.101556,2.763476,22288.9,448.65306736877756,0.0,1.310557237,19.35718,-4.39968,0.00336,-0.00051,HOMO → LUMO (95.3%)
pdi,Parent PDI,singlet,Singlet,2,S2,2,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.141875,3.860615,31138.0,321.15141862112637,0.0,3.78e-07,0.0,8e-05,4e-05,-0.002,HOMO-1 → LUMO (71.1%); HOMO-4 → LUMO (9.5%); HOMO → LUMO+3 (9.0%)
pdi,Parent PDI,singlet,Singlet,3,S3,3,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.148619,4.044128,32618.1,306.57832393039985,0.0,0.204460088,2.0636,0.00112,1.43648,0.0109,HOMO-2 → LUMO (74.7%); HOMO → LUMO+4 (10.5%); HOMO-1 → LUMO+1 (6.1%)
pdi,Parent PDI,singlet,Singlet,4,S4,4,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.15085,4.104846,33107.8,302.04348323907885,0.0,4.03e-07,0.0,-0.00016,2e-05,0.002,HOMO-4 → LUMO (60.5%); HOMO → LUMO+2 (21.0%); HOMO → LUMO+3 (8.2%)
pdi,Parent PDI,singlet,Singlet,5,S5,5,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.161562,4.396315,35458.7,282.01845955078284,0.0,0.0,0.0,-0.0,6e-05,0.0,HOMO → LUMO+1 (63.1%); HOMO-3 → LUMO (28.4%)
pdi,Parent PDI,singlet,Singlet,6,S6,6,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.168706,4.590719,37026.6,270.0757733156832,0.0,1.4e-08,0.0,-0.0002,0.0,0.00029,HOMO → LUMO+2 (68.7%); HOMO-4 → LUMO (24.4%)
pdi,Parent PDI,singlet,Singlet,7,S7,7,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.170286,4.633717,37373.5,267.56963880185174,0.0,3e-09,0.0,-2e-05,1e-05,0.00016,HOMO-5 → LUMO (58.8%); HOMO-6 → LUMO+1 (23.1%); HOMO-5 → LUMO+5 (6.1%)
pdi,Parent PDI,singlet,Singlet,8,S8,8,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.170361,4.635765,37390.0,267.45143120930413,0.0,0.000568657,0.00501,-0.00144,0.00048,-0.07074,HOMO-6 → LUMO (58.6%); HOMO-5 → LUMO+1 (23.2%); HOMO-6 → LUMO+5 (6.2%)
pdi,Parent PDI,singlet,Singlet,9,S9,9,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.176486,4.802417,38734.1,258.1704137728981,0.0,1e-09,0.0,0.0,8e-05,1e-05,HOMO-3 → LUMO (64.0%); HOMO → LUMO+1 (28.3%)
pdi,Parent PDI,singlet,Singlet,10,S10,10,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.181589,4.941297,39854.3,250.9142810075978,0.0,2.058e-06,2e-05,-1e-05,-3e-05,0.00412,HOMO → LUMO+3 (70.2%); HOMO-1 → LUMO (12.9%)
pdi,Parent PDI,singlet,Singlet,11,S11,11,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.183112,4.982728,40188.4,248.82794806379155,0.0,1.85e-07,0.0,0.00121,-0.0,0.00024,HOMO-9 → LUMO (58.2%); HOMO-10 → LUMO+1 (19.0%); HOMO-6 → LUMO+2 (7.2%); HOMO-5 → LUMO+6 (6.1%)
pdi,Parent PDI,singlet,Singlet,12,S12,12,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.18458,5.022686,40510.7,246.84839625650497,0.0,7e-09,0.0,-3e-05,0.00024,-0.0,HOMO-10 → LUMO (53.3%); HOMO-9 → LUMO+1 (20.2%); HOMO-5 → LUMO+2 (8.4%); HOMO-6 → LUMO+6 (6.9%)
