system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order
pdi,1,C,2,C,C-C,1.0357934100
pdi,1,C,6,C,C-C,1.2561756400
pdi,1,C,18,C,C-C,0.0601232500
pdi,1,C,20,C,C-C,1.4446393100
pdi,2,C,3,C,C-C,1.2564320500
pdi,2,C,7,C,C-C,1.4450317300
pdi,2,C,9,C,C-C,0.0592904900
pdi,2,C,20,C,C-C,-0.0505343400
pdi,3,C,4,C,C-C,1.2542588600
pdi,3,C,10,C,C-C,1.2900900300
pdi,4,C,5,C,C-C,1.0338248000
pdi,4,C,11,C,C-C,0.0608230600
pdi,4,C,13,C,C-C,1.4445645300
pdi,4,C,14,C,C-C,-0.0501965600
pdi,5,C,6,C,C-C,1.2557580300
pdi,5,C,13,C,C-C,-0.0506726300
pdi,5,C,14,C,C-C,1.4431959400
pdi,5,C,16,C,C-C,0.0602738400
pdi,6,C,17,C,C-C,1.2893772600
pdi,7,C,8,C,C-C,1.2914755700
pdi,7,C,33,H,C-H,0.9777561600
pdi,8,C,9,C,C-C,1.5016741500
pdi,8,C,27,O,C-O,0.1112286700
pdi,8,C,34,H,C-H,0.9595958100
pdi,9,C,10,C,C-C,1.2460703900
pdi,9,C,24,C,C-C,0.9387525700
pdi,9,C,27,O,C-O,-0.1768209100
pdi,10,C,11,C,C-C,1.2411751400
pdi,11,C,12,C,C-C,1.4988609000
pdi,11,C,25,N,C-N,-0.0501368300
pdi,11,C,26,C,C-C,0.9397991200
pdi,11,C,28,O,C-O,-0.1762132600
pdi,12,C,13,C,C-C,1.2880930400
pdi,12,C,28,O,C-O,0.1110846900
pdi,12,C,35,H,C-H,0.9628520500
pdi,13,C,36,H,C-H,0.9780334600
pdi,14,C,15,C,C-C,1.2884073900
pdi,14,C,37,H,C-H,0.9781955900
pdi,15,C,16,C,C-C,1.5003027500
pdi,15,C,29,O,C-O,0.1125022500
pdi,15,C,38,H,C-H,0.9622175600
pdi,16,C,17,C,C-C,1.2447617900
pdi,16,C,21,C,C-C,0.9362329300
pdi,16,C,22,N,C-N,-0.0523246300
pdi,16,C,29,O,C-O,-0.1777176300
pdi,17,C,18,C,C-C,1.2468768100
pdi,18,C,19,C,C-C,1.5003382700
pdi,18,C,22,N,C-N,-0.0523628400
pdi,18,C,23,C,C-C,0.9367875000
pdi,18,C,30,O,C-O,-0.1776874900
pdi,19,C,20,C,C-C,1.2886519500
pdi,19,C,30,O,C-O,0.1118934100
pdi,19,C,39,H,C-H,0.9615220900
pdi,20,C,40,H,C-H,0.9778963000
pdi,21,C,22,N,C-N,1.1798474400
pdi,21,C,29,O,C-O,2.1848995300
pdi,22,N,23,C,N-C,1.1796612200
pdi,22,N,31,H,N-H,0.8866065200
pdi,23,C,30,O,C-O,2.1850994000
pdi,24,C,25,N,C-N,1.1793987700
pdi,24,C,27,O,C-O,2.1843662300
pdi,25,N,26,C,N-C,1.1789504800
pdi,25,N,32,H,N-H,0.8866556100
pdi,26,C,28,O,C-O,2.1841853300
pdi_terminal_functionalized,1,C,2,C,C-C,1.0445859200
