system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order,region_i,label_i,region_j,label_j,source_file
pdi,1,C,2,C,C-C,1.03579341,core,C1,core,C2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,1,C,6,C,C-C,1.25617564,core,C1,core,C6,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,1,C,18,C,C-C,0.06012325,core,C1,middle,C18,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,1,C,20,C,C-C,1.44463931,core,C1,middle,C20,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,2,C,3,C,C-C,1.25643205,core,C2,core,C3,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,2,C,7,C,C-C,1.44503173,core,C2,middle,C7,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,2,C,9,C,C-C,0.05929049,core,C2,middle,C9,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,2,C,20,C,C-C,-0.05053434,core,C2,middle,C20,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,3,C,4,C,C-C,1.25425886,core,C3,core,C4,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,3,C,10,C,C-C,1.29009003,core,C3,middle,C10,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,4,C,5,C,C-C,1.0338248,core,C4,core,C5,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,4,C,11,C,C-C,0.06082306,core,C4,middle,C11,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,4,C,13,C,C-C,1.44456453,core,C4,middle,C13,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,4,C,14,C,C-C,-0.05019656,core,C4,middle,C14,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,5,C,6,C,C-C,1.25575803,core,C5,core,C6,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,5,C,13,C,C-C,-0.05067263,core,C5,middle,C13,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,5,C,14,C,C-C,1.44319594,core,C5,middle,C14,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,5,C,16,C,C-C,0.06027384,core,C5,middle,C16,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,6,C,17,C,C-C,1.28937726,core,C6,middle,C17,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,7,C,8,C,C-C,1.29147557,middle,C7,middle,C8,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,7,C,33,H,C-H,0.97775616,middle,C7,middle,H3,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,8,C,9,C,C-C,1.50167415,middle,C8,middle,C9,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,8,C,27,O,C-O,0.11122867,middle,C8,carbonyl,O1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,8,C,34,H,C-H,0.95959581,middle,C8,outer,H4,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,9,C,10,C,C-C,1.24607039,middle,C9,middle,C10,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,9,C,24,C,C-C,0.93875257,middle,C9,outer,C23,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,9,C,27,O,C-O,-0.17682091,middle,C9,carbonyl,O1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,10,C,11,C,C-C,1.24117514,middle,C10,middle,C11,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,11,C,12,C,C-C,1.4988609,middle,C11,middle,C12,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,11,C,25,N,C-N,-0.05013683,middle,C11,imide,N2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,11,C,26,C,C-C,0.93979912,middle,C11,outer,C24,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,11,C,28,O,C-O,-0.17621326,middle,C11,carbonyl,O2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,12,C,13,C,C-C,1.28809304,middle,C12,middle,C13,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,12,C,28,O,C-O,0.11108469,middle,C12,carbonyl,O2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,12,C,35,H,C-H,0.96285205,middle,C12,outer,H5,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,13,C,36,H,C-H,0.97803346,middle,C13,middle,H6,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,14,C,15,C,C-C,1.28840739,middle,C14,middle,C15,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,14,C,37,H,C-H,0.97819559,middle,C14,middle,H7,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
