bond_id,label,region,comparison_type,pdi,pdi_terminal_functionalized,delta_mayer_bond_order
co_2,C-O,,matched,2.1850994,2.06791651,-0.11718289000000004
co_4,C-O,,matched,2.18418533,2.06720637,-0.11697895999999997
co_3,C-O,,matched,2.18436623,2.07377582,-0.11059041000000036
co_1,C-O,,matched,2.18489953,2.07470494,-0.11019458999999987
cn_1,C-N,,matched,1.17984744,1.15635508,-0.0234923600000001
cn_2,C-N,,matched,1.17939877,1.1564435,-0.022955269999999972
cc_19,C-C,,matched,0.93979912,0.92139892,-0.018400199999999978
cc_27,C-C,,matched,0.9367875,0.92047158,-0.01631592000000004
cc_16,C-C,,matched,0.93875257,0.92598386,-0.012768710000000016
cc_24,C-C,,matched,0.93623293,0.92548218,-0.01075074999999992
cc_1,C-C,,matched,1.03579341,1.04458592,0.008792510000000142
cc_15,C-C,,matched,1.24607039,1.23830254,-0.007767850000000021
cc_21,C-C,,matched,1.28840739,1.29610605,0.007698659999999968
cc_26,C-C,,matched,1.50033827,1.50802255,0.007684279999999877
cc_23,C-C,,matched,1.24476179,1.2372815,-0.007480290000000167
cc_12,C-C,,matched,1.28937726,1.29623857,0.00686131000000012
cc_8,C-C,,matched,1.0338248,1.04006996,0.006245159999999972
nc_1,N-C,,matched,1.17966122,1.17369239,-0.005968830000000036
cc_18,C-C,,matched,1.4988609,1.50478788,0.005926980000000137
cc_14,C-C,,matched,1.50167415,1.49601059,-0.005663559999999901
nc_2,N-C,,matched,1.17895048,1.1735046,-0.005445879999999903
cc_17,C-C,,matched,1.24117514,1.24602381,0.00484867000000011
cc_2,C-C,,matched,1.25617564,1.2516073,-0.0045683399999998375
cc_7,C-C,,matched,1.29009003,1.29464271,0.004552679999999976
cc_22,C-C,,matched,1.50030275,1.49585793,-0.004444820000000016
cc_4,C-C,,matched,1.25643205,1.252488,-0.003944049999999866
cc_25,C-C,,matched,1.24687681,1.24375407,-0.0031227400000000127
cc_9,C-C,,matched,1.44456453,1.44225515,-0.0023093800000000275
cc_3,C-C,,matched,1.44463931,1.44336693,-0.0012723799999998509
cc_13,C-C,,matched,1.29147557,1.29250048,0.0010249099999999345
cc_5,C-C,,matched,1.44503173,1.44403757,-0.0009941599999998552
cc_6,C-C,,matched,1.25425886,1.2550819,0.0008230399999999971
cc_11,C-C,,matched,1.44319594,1.44373916,0.0005432199999999554
cc_28,C-C,,matched,1.28865195,1.28814042,-0.0005115300000000378
cc_20,C-C,,matched,1.28809304,1.2877977,-0.00029533999999986627
cc_10,C-C,,matched,1.25575803,1.25548314,-0.0002748900000000276
newcc_1,new C-C,,functionalized_only,,0.96931857,
newcc_2,new C-C,,functionalized_only,,0.9699796,
newcc_3,new C-C,,functionalized_only,,0.96932574,
newcc_4,new C-C,,functionalized_only,,0.97000953,
newcc_5,new C-C,,functionalized_only,,0.98199435,
newcc_6,new C-C,,functionalized_only,,0.98220898,
newcc_7,new C-C,,functionalized_only,,0.98237614,
newcc_8,new C-C,,functionalized_only,,0.98261166,
newnc_1,new N-C,,functionalized_only,,0.78753327,
newnc_2,new N-C,,functionalized_only,,0.78741113,
