system,atom,element,x,y,z,hirshfeld_charge,region,fragment,subregion,label,mapping_status,source_file
pdi,1,C,-0.732487,1.243518,0.009067,0.014471466,core,,,C1,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,2,C,0.729438,1.24248,-0.001728,0.0144681163,core,,,C2,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,3,C,1.425335,-0.001984,0.001697,0.0021547276,core,,,C3,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,4,C,0.727539,-1.245233,-0.018503,0.0144725984,core,,,C4,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,5,C,-0.734417,-1.244165,-0.011748,0.0144694977,core,,,C5,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,6,C,-1.430298,0.000318,-0.013158,0.0021551948,core,,,C6,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,7,C,1.471217,2.423611,0.002793,-0.0284918719,middle,,,C7,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,8,C,2.862624,2.417097,0.003448,-0.0075447255,middle,,,C8,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,9,C,3.55742,1.223028,0.000311,-0.0203615673,middle,,,C9,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,10,C,2.852567,-0.003015,-0.007379,0.0057218104,middle,,,C10,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,11,C,3.555555,-1.230131,-0.014091,-0.0203610788,middle,,,C11,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,12,C,2.858939,-2.423093,-0.024683,-0.0075448079,middle,,,C12,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,13,C,1.467524,-2.427477,-0.026387,-0.0284933111,middle,,,C13,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,14,C,-1.476215,-2.425255,-0.021914,-0.0284926875,middle,,,C14,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,15,C,-2.86762,-2.418715,-0.023711,-0.0075459936,middle,,,C15,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,16,C,-3.562399,-1.224658,-0.016114,-0.0203608945,middle,,,C16,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,17,C,-2.857531,0.001336,-0.004086,0.0057215347,middle,,,C17,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,18,C,-3.560501,1.228435,0.006962,-0.0203594533,middle,,,C18,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,19,C,-2.863868,2.42134,0.022025,-0.0075431783,middle,,,C19,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,20,C,-1.472451,2.425715,0.022596,-0.0284930021,middle,,,C20,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,21,C,-5.038848,-1.24591,-0.016658,0.17911157,outer,,,C21,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,22,N,-5.64999,0.003507,-0.004712,-0.0702994582,imide,,,N1,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,23,C,-5.036917,1.25197,0.007536,0.179111576,outer,,,C22,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,24,C,5.033871,1.244304,0.000422,0.1791113044,outer,,,C23,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,25,N,5.645026,-0.005137,-0.006765,-0.0702989648,imide,,,N2,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,26,C,5.03197,-1.253647,-0.014241,0.1791089231,outer,,,C24,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,27,O,5.700164,2.266134,0.006626,-0.2829415072,carbonyl,,,O1,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,28,O,5.696703,-2.276494,-0.020118,-0.2829444455,carbonyl,,,O2,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,29,O,-5.705155,-2.267697,-0.027028,-0.2829398622,carbonyl,,,O3,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,30,O,-5.701635,2.274793,0.017581,-0.2829399232,carbonyl,,,O4,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,31,H,-6.663771,0.004294,-0.004797,0.1450631606,imide,,,H1,parent_only,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,32,H,6.658807,-0.00591,-0.006682,0.1450637087,imide,,,H2,parent_only,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,33,H,0.971881,3.384589,0.002158,0.0478928034,middle,,,H3,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,34,H,3.424549,3.345904,0.006893,0.0565442167,outer,,,H4,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,35,H,3.419438,-3.352743,-0.031374,0.0565483971,outer,,,H5,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,36,H,0.966738,-3.387632,-0.037797,0.0478925849,middle,,,H6,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,37,H,-0.976906,-3.386244,-0.025166,0.047893112,middle,,,H7,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,38,H,-3.429552,-3.347491,-0.031396,0.05654483,outer,,,H8,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,39,H,-3.424358,3.350955,0.032956,0.0565427963,outer,,,H9,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi,40,H,-0.971634,3.385798,0.037901,0.0478928034,middle,,,H10,matched,calculations/pdi/multiwfn_analysis/charges/pdi_hirshfeld.chg
pdi_terminal_functionalized,1,C,-0.740611,1.228664,-0.174338,0.0132255919,core,,,C1,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,2,C,0.720267,1.235625,-0.197016,0.0128828315,core,,,C2,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,3,C,1.419547,-0.005865,-0.189316,0.0013804594,core,,,C3,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,4,C,0.73192,-1.253758,-0.19948,0.0132320842,core,,,C4,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,5,C,-0.729115,-1.260678,-0.189914,0.0128889921,core,,,C5,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,6,C,-1.428317,-0.019109,-0.190504,0.0013812417,core,,,C6,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,7,C,1.461349,2.417454,-0.205404,-0.030127094,middle,,,C7,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,8,C,2.853414,2.413577,-0.213641,-0.0105987656,middle,,,C8,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,9,C,3.550922,1.219905,-0.211504,-0.0210176738,middle,,,C9,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,10,C,2.845193,0.000815,-0.206771,0.0031579101,middle,,,C10,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,11,C,3.563065,-1.211222,-0.206377,-0.0204115476,middle,,,C11,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,12,C,2.876364,-2.411463,-0.20268,-0.0098796365,middle,,,C12,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,13,C,1.48444,-2.428383,-0.1981,-0.0301607437,middle,,,C13,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,14,C,-1.470357,-2.442415,-0.20002,-0.0301270873,middle,,,C14,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,15,C,-2.862437,-2.438464,-0.195501,-0.0106038153,middle,,,C15,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,16,C,-3.559829,-1.244785,-0.182994,-0.0210162576,middle,,,C16,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,17,C,-2.853968,-0.025802,-0.17359,0.003159627,middle,,,C17,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,18,C,-3.571704,1.186249,-0.160287,-0.020408005,middle,,,C18,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,19,C,-2.884886,2.386374,-0.14939,-0.009873786,middle,,,C19,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,20,C,-1.492977,2.403245,-0.157379,-0.030158575,middle,,,C20,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,21,C,-5.037874,-1.271261,-0.176462,0.1837325754,outer,,,C21,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,22,N,-5.702826,-0.043027,-0.162936,-0.0242740229,imide,,,N1,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,23,C,-5.049327,1.200432,-0.15217,0.1839978841,outer,,,C22,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,24,C,5.028958,1.246456,-0.220424,0.1837336567,outer,,,C23,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,25,N,5.694032,0.018211,-0.221855,-0.0242738146,imide,,,N2,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,26,C,5.040688,-1.225348,-0.21392,0.1839970455,outer,,,C24,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,27,O,5.645226,2.303068,-0.227063,-0.2514569107,carbonyl,,,O1,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,28,O,5.663158,-2.277699,-0.212807,-0.2620832312,carbonyl,,,O2,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,29,O,-5.654273,-2.327797,-0.183006,-0.25145856,carbonyl,,,O3,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,30,O,-5.671677,2.252749,-0.137358,-0.262084786,carbonyl,,,O4,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,31,C,-7.195398,-0.033012,-0.158232,0.0331288908,terminal_left_alpha,terminal_left,alpha,TL_C1,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,32,C,7.186597,0.008309,-0.228834,0.0331280479,terminal_right_alpha,terminal_right,alpha,TR_C1,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,33,C,-7.777902,-0.636167,-1.441149,-0.0520133097,terminal_left_beta,terminal_left,beta,TL_C2,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,34,C,-7.770066,-0.65824,1.117657,-0.0520112995,terminal_left_beta,terminal_left,beta,TL_C3,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,35,C,-7.171387,-0.078357,2.396731,-0.0882715385,terminal_left_gamma,terminal_left,gamma,TL_C4,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
