system,cube_type,source_file,comment_1,comment_2,atom_count,origin_x,origin_y,origin_z,nx,ny,nz,voxel_count,voxel_volume_bohr3,grid_volume_bohr3,minimum,maximum,mean,standard_deviation,integral,absolute_integral,positive_voxel_fraction,negative_voxel_fraction,zero_voxel_fraction,sha256
pdi,elf,calculations/pdi/multiwfn_analysis/elf_lol/pdi_elf.cub, Generated by Multiwfn, Totally       530640 grid points,40,-18.592701,-12.401697,-6.071426,134,90,44,530640,0.021866029274012103,11602.989773961783,4.23746e-60,0.999945,0.09172293686315529,0.2131418706450713,1064.260298460933,1064.260298460933,1.0,0.0,0.0,cfed0707e4c8eae3f264ae9f24fb4560f703d05a580625b79ff348ce33e98718
pdi,lol,calculations/pdi/multiwfn_analysis/elf_lol/pdi_lol.cub, Generated by Multiwfn, Totally       530640 grid points,40,-18.592701,-12.401697,-6.071426,134,90,44,530640,0.021866029274012103,11602.989773961783,5.57193e-15,0.932704,0.054949750401542985,0.12017755832817306,637.5813919908556,637.5813919908556,1.0,0.0,0.0,a81e180d950713781ffb3065316564cc731608ce7550a1b59018687649e3fca1
pdi,density,calculations/pdi/multiwfn_analysis/esp/pdi_density.cub, Generated by Multiwfn, Totally       530640 grid points,40,-18.592701,-12.401697,-6.071426,134,90,44,530640,0.021866029274012103,11602.989773961783,8.19012e-22,72.7157,0.0169670707313933,0.2666992753533445,196.86874819044272,196.86874819044272,1.0,0.0,0.0,1b738705289232b7a75b601f0a6744a43f25303e839ce5505694ff28c51d6eb7
pdi,esp,calculations/pdi/multiwfn_analysis/esp/pdi_esp.cub, Generated by Multiwfn, Totally       530640 grid points,40,-18.592701,-12.401697,-6.071426,134,90,44,530640,0.021866029274012103,11602.989773961783,-0.0646215,67.7101,0.06978730653107428,0.5017021608842572,809.7414040323912,912.9166869829756,0.5789311020654304,0.4210688979345696,0.0,231fc99810369b0315059191a9ea2755495ff2f74c6a5d88ca7e56d5c1289548
pdi,homo,calculations/pdi/multiwfn_analysis/orbitals/pdi_homo.cub, Generated by Multiwfn, Totally       530640 grid points,40,-18.592701,-12.401697,-6.071426,134,90,44,530640,0.021866029274012103,11602.989773961783,-0.124736,0.125772,-5.077781888265117e-07,0.009284218646224694,-0.00589174513239485,35.48890240344404,0.5004503995175636,0.4995496004824363,0.0,b35be6396fc29531193fe56b36acaa6c1081fe8c46e7a836c726123bf4eac614
pdi,lumo,calculations/pdi/multiwfn_analysis/orbitals/pdi_lumo.cub, Generated by Multiwfn, Totally       530640 grid points,40,-18.592701,-12.401697,-6.071426,134,90,44,530640,0.021866029274012103,11602.989773961783,-0.118527,0.120125,5.394616964697122e-07,0.009284127277243185,0.006259368547582147,40.2747455024233,0.5010534448967284,0.4989465551032715,0.0,c9b3df4b84b067b91f83014b799a725c958c93ddb7cf8a20134aea6ff67d66fc
pdi_terminal_functionalized,elf,calculations/pdi_terminal_functionalized/multiwfn_analysis/elf_lol/pdi_terminal_functionalized_elf.cub, Generated by Multiwfn, Totally       530640 grid points,70,-22.736951,-12.429803,-12.935938,120,66,67,530640,0.05537081752351379,29381.97061067736,5.34782e-75,0.999927,0.06160995306824589,0.18960863507287024,1810.221830376412,1810.221830376412,1.0,0.0,0.0,7a7b17c1145b4d84f40971db3ea128dc5ca98f8bdd2a18c2d399e04c1e025e9f
pdi_terminal_functionalized,lol,calculations/pdi_terminal_functionalized/multiwfn_analysis/elf_lol/pdi_terminal_functionalized_lol.cub, Generated by Multiwfn, Totally       530640 grid points,70,-22.736951,-12.429803,-12.935938,120,66,67,530640,0.05537081752351379,29381.97061067736,4.92066e-18,0.967875,0.03356880406225888,0.09787571399581078,986.3176143928772,986.3176143928772,1.0,0.0,0.0,77273529b9597fc504a7a041d09bc53b9e5a04fed6fbffa539d38886be9295f4
pdi_terminal_functionalized,density,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_density.cub, Generated by Multiwfn, Totally       530640 grid points,70,-22.736951,-12.429803,-12.935938,120,66,67,530640,0.05537081752351379,29381.97061067736,2.77723e-26,36.0863,0.00938372345023924,0.17993236085216643,275.71228663365326,275.71228663365326,1.0,0.0,0.0,06077c7319536432b524d334a1348dd656f35d17a47359b3647548e55781fa79
pdi_terminal_functionalized,esp,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp.cub, Generated by Multiwfn, Totally       530640 grid points,70,-22.736951,-12.429803,-12.935938,120,66,67,530640,0.05537081752351379,29381.97061067736,-0.0626826,140.709,0.03782778185713904,0.40952349438676333,1111.4547747935735,1221.033668413247,0.5208484094678124,0.47915159053218753,0.0,c57b9f2bc30fc4c8a1a668685f08e2ec3a0db5d3c387c372f8ce0bbd1574254e
pdi_terminal_functionalized,homo,calculations/pdi_terminal_functionalized/multiwfn_analysis/orbitals/pdi_terminal_functionalized_homo.cub, Generated by Multiwfn, Totally       530640 grid points,70,-22.736951,-12.429803,-12.935938,120,66,67,530640,0.05537081752351379,29381.97061067736,-0.119455,0.121947,7.028431649827336e-07,0.005830004277551947,0.020650917217438135,36.024474878024876,0.5024837931554349,0.49751620684456505,0.0,187186b6011b56f8dbbbcbd7b9d2d3bbbe3b2f21bad11059778eb6216166fae4
pdi_terminal_functionalized,lumo,calculations/pdi_terminal_functionalized/multiwfn_analysis/orbitals/pdi_terminal_functionalized_lumo.cub, Generated by Multiwfn, Totally       530640 grid points,70,-22.736951,-12.429803,-12.935938,120,66,67,530640,0.05537081752351379,29381.97061067736,-0.110665,0.111461,6.962798695066748e-08,0.005829927794307939,0.0020458074662651382,41.20557186200316,0.5010854816824966,0.4989145183175034,0.0,3084276cc5bdc7c269a838b955cccdea62981e47c550a33cc44452df666e179c
