system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10,energy_homo_aligned_ev,tdos_per_atom,pdos_fragment_1_per_atom,pdos_fragment_2_per_atom,pdos_fragment_3_per_atom,pdos_fragment_4_per_atom
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-12.0,0.000471,0.0,0.000404,1.6e-05,1.7e-05,3.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.725361666051459,1.1775e-05,1.01e-05,4e-07,4.25e-07,8.25e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.99466,0.000401,0.0,0.000344,1.4e-05,1.5e-05,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.7200216660514585,1.0025e-05,8.6e-06,3.5e-07,3.75e-07,7e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.98933,0.000341,0.0,0.000293,1.2e-05,1.3e-05,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.7146916660514595,8.525e-06,7.325e-06,3e-07,3.2499999999999996e-07,6e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.98399,0.000289,0.0,0.000249,1e-05,1.1e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.709351666051459,7.2249999999999994e-06,6.225e-06,2.5000000000000004e-07,2.75e-07,5.000000000000001e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.97866,0.000245,0.0,0.000211,8e-06,9e-06,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.7040216660514584,6.125e-06,5.275e-06,2e-07,2.2500000000000002e-07,4.25e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.97332,0.000207,0.0,0.000178,7e-06,8e-06,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.698681666051458,5.175e-06,4.45e-06,1.75e-07,2e-07,3.5e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.96799,0.000175,0.0,0.00015,6e-06,6e-06,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.693351666051459,4.375e-06,3.7499999999999997e-06,1.5e-07,1.5e-07,3e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.96265,0.000147,0.0,0.000127,5e-06,5e-06,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.688011666051459,3.675e-06,3.175e-06,1.2500000000000002e-07,1.2500000000000002e-07,2.5000000000000004e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.95732,0.000124,0.0,0.000107,4e-06,5e-06,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.682681666051458,3.1e-06,2.675e-06,1e-07,1.2500000000000002e-07,2.2500000000000002e-07
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.95198,0.000104,0.0,9e-05,4e-06,4e-06,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.6773416660514595,2.5999999999999997e-06,2.25e-06,1e-07,1e-07,1.75e-07
