system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-12.0,0.000471,0.0,0.000404,1.6e-05,1.7e-05,3.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.99466,0.000401,0.0,0.000344,1.4e-05,1.5e-05,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.98933,0.000341,0.0,0.000293,1.2e-05,1.3e-05,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.98399,0.000289,0.0,0.000249,1e-05,1.1e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.97866,0.000245,0.0,0.000211,8e-06,9e-06,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.97332,0.000207,0.0,0.000178,7e-06,8e-06,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.96799,0.000175,0.0,0.00015,6e-06,6e-06,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.96265,0.000147,0.0,0.000127,5e-06,5e-06,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.95732,0.000124,0.0,0.000107,4e-06,5e-06,9e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.95198,0.000104,0.0,9e-05,4e-06,4e-06,7e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.94665,8.7e-05,0.0,7.5e-05,3e-06,3e-06,6e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.94131,7.3e-05,0.0,6.3e-05,3e-06,3e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.93598,6.1e-05,0.0,5.3e-05,2e-06,2e-06,4e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.93064,5.1e-05,0.0,4.4e-05,2e-06,2e-06,4e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.92531,4.3e-05,0.0,3.7e-05,1e-06,2e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.91997,3.6e-05,0.0,3e-05,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.91464,3e-05,-0.0,2.5e-05,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.9093,2.5e-05,-0.0,2.1e-05,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.90397,2.1e-05,-0.0,1.7e-05,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.89863,1.7e-05,-0.0,1.4e-05,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.8933,1.5e-05,-0.0,1.2e-05,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.88796,1.2e-05,-0.0,1e-05,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.88263,1.1e-05,-0.0,8e-06,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.87729,9e-06,-0.0,7e-06,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.87196,8e-06,-0.0,6e-06,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.86662,8e-06,-0.0,5e-06,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.86129,7e-06,-0.0,4e-06,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
