system,source_file,line,extremum_type,x,y,z,esp_value,raw_line
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,3,minimum,-6.986352,3.443465,-0.002166,-0.04902076,1 -0.04902076   -1.333923  -30.761020      -6.986352   3.443465  -0.002166
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,4,minimum,-6.983137,-3.442856,-0.005394,-0.04902005,2 -0.04902005   -1.333903  -30.760571      -6.983137  -3.442856  -0.005394
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,5,minimum,-5.945539,-0.012236,-1.892238,0.01056332,3  0.01056332    0.287443    6.628591      -5.945539  -0.012236  -1.892238
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,6,minimum,-6.053296,-0.002687,1.859161,0.01055305,4  0.01055305    0.287163    6.622147      -6.053296  -0.002687   1.859161
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,7,minimum,-3.295829,-2.126946,1.953611,0.00742971,5  0.00742971    0.202173    4.662217      -3.295829  -2.126946   1.953611
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,8,minimum,-3.261736,1.99539,2.002123,0.00742619,6  0.00742619    0.202077    4.660007      -3.261736   1.995390   2.002123
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,9,minimum,-3.258265,2.131905,-1.961168,0.00737262,7  0.00737262    0.200619    4.626394      -3.258265   2.131905  -1.961168
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,10,minimum,-3.160329,-1.993099,-2.01113,0.00738251,8  0.00738251    0.200888    4.632597      -3.160329  -1.993099  -2.011130
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,11,minimum,-1.938364,0.011955,-1.965469,0.01405527,9  0.01405527    0.382463    8.819823      -1.938364   0.011955  -1.965469
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,12,minimum,-1.979077,-0.0124,1.943299,0.01416685,10  0.01416685    0.385499    8.889838      -1.979077  -0.012400   1.943299
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,13,minimum,1.904581,0.016957,-1.957675,0.01417017,11  0.01417017    0.385590    8.891922       1.904581   0.016957  -1.957675
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,14,minimum,1.995137,-0.010546,1.950922,0.01405094,12  0.01405094    0.382346    8.817107       1.995137  -0.010546   1.950922
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,15,minimum,3.190119,-1.992797,-2.010179,0.00742548,13  0.00742548    0.202057    4.659561       3.190119  -1.992797  -2.010179
