system,source_file,line,extremum_type,x,y,z,esp_value,raw_line,esp_value_ev,rank
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,21,minimum,6.983132,-3.443218,-0.034141,-0.04903218,*   19 -0.04903218   -1.334233  -30.768182       6.983132  -3.443218  -0.034141,-1.3342335884628078,1
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,22,minimum,6.992188,3.426221,-0.037432,-0.04902777,20 -0.04902777   -1.334113  -30.765417       6.992188   3.426221  -0.037432,-1.334113586249463,2
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,3,minimum,-6.986352,3.443465,-0.002166,-0.04902076,1 -0.04902076   -1.333923  -30.761020      -6.986352   3.443465  -0.002166,-1.3339228344318785,3
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,4,minimum,-6.983137,-3.442856,-0.005394,-0.04902005,2 -0.04902005   -1.333903  -30.760571      -6.983137  -3.442856  -0.005394,-1.333903514347644,4
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,9,minimum,-3.258265,2.131905,-1.961168,0.00737262,7  0.00737262    0.200619    4.626394      -3.258265   2.131905  -1.961168,0.20061921046489603,5
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,18,minimum,3.314371,2.10498,1.975422,0.00737902,16  0.00737902    0.200793    4.630412       3.314371   2.104980   1.975422,0.20079336333687037,6
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,17,minimum,3.318494,-2.127922,1.950698,0.00737926,15  0.00737926    0.200800    4.630561       3.318494  -2.127922   1.950698,0.2007998940695694,7
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,10,minimum,-3.160329,-1.993099,-2.01113,0.00738251,8  0.00738251    0.200888    4.632597      -3.160329  -1.993099  -2.011130,0.20088833107486886,8
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,15,minimum,3.190119,-1.992797,-2.010179,0.00742548,13  0.00742548    0.202057    4.659561       3.190119  -1.992797  -2.010179,0.20205760434185896,9
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,8,minimum,-3.261736,1.99539,2.002123,0.00742619,6  0.00742619    0.202077    4.660007      -3.261736   1.995390   2.002123,0.20207692442609362,10
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,7,minimum,-6.531101,3.751433,-0.054162,-0.04815586,*    5 -0.04815586   -1.310388  -30.218287      -6.531101   3.751433  -0.054162,-1.3103877064677236,1
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,26,minimum,6.493737,-3.794977,-0.226277,-0.04815153,24 -0.04815153   -1.310270  -30.215566       6.493737  -3.794977  -0.226277,-1.3102698811652784,2
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,8,minimum,-6.334051,-3.922512,-0.221518,-0.04651394,6 -0.04651394   -1.265709  -29.187961      -6.334051  -3.922512  -0.221518,-1.2657087871627108,3
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,25,minimum,6.363357,3.880007,-0.255143,-0.04651249,23 -0.04651249   -1.265669  -29.187054       6.363357   3.880007  -0.255143,-1.2656693306526543,4
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,3,minimum,-7.128563,0.971631,4.079438,-0.00380407,1 -0.00380407   -0.103514   -2.387090      -7.128563   0.971631   4.079438,-0.10351401807677557,5
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,29,minimum,7.165185,-1.00682,4.017117,-0.00378638,27 -0.00378638   -0.103033   -2.375990       7.165185  -1.006820   4.017117,-0.10303264865408404,6
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,28,minimum,7.121925,-1.020783,-4.463681,-0.00373586,26 -0.00373586   -0.101658   -2.344290       7.121925  -1.020783  -4.463681,-0.10165792942093672,7
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,6,minimum,-6.61032,-1.870559,2.941865,-0.00372579,4 -0.00372579   -0.101384   -2.337969      -6.610320  -1.870559   2.941865,-0.10138391076143963,8
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,4,minimum,-7.191392,1.043396,-4.383294,-0.00372425,2 -0.00372425   -0.101342   -2.337007      -7.191392   1.043396  -4.383294,-0.1013420052266208,9
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,5,minimum,-6.639147,-1.823059,-3.294408,-0.00370006,3 -0.00370006   -0.100684   -2.321823      -6.639147  -1.823059  -3.294408,-0.10068376179333036,10
