system,source_file,cp_index,start_line,signature,cp_type,corresponding_nucleus,position_bohr,position_angstrom,density_of_all_electrons,density_of_alpha_electrons,density_of_beta_electrons,spin_density_of_electrons,lagrangian_kinetic_energy_g_r,g_r_in_x_y_z,hamiltonian_kinetic_energy_k_r,potential_energy_density_v_r,energy_density_e_r_or_h_r,laplacian_of_electron_density,electron_localization_function_elf,localized_orbital_locator_lol,local_information_entropy,interaction_region_indicator_iri,reduced_density_gradient_rdg,reduced_density_gradient_with_promolecular_approximation,sign_lambda2_rho,sign_lambda2_rho_with_promolecular_approximation,corr_hole_for_alpha_ref,source_function_ref,wavefunction_value_for_orbital_1,average_local_ionization_energy_alie,van_der_waals_potential_probe_atom,delta_g_under_promolecular_approximation,delta_g_under_hirshfeld_partition,user_defined_real_space_function,esp_from_nuclear_charges,esp_from_electrons,total_esp,norm_of_gradient_is,total,eigenvalues_of_hessian,determinant_of_hessian,ellipticity_of_electron_density,eta_index,stiffness,eigenvalues_of_stress_tensor,stress_tensor_stiffness,stress_tensor_polarizability
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,1,1,"(3,-3)",nuclear,38.0,-0.059120232807,-0.031285079905,0.4349445611,0.2174722805,0.2174722805,0.0,0.006208988098,0.002770106147,6.464226054,-6.470435042,-6.464226054,-25.83206827,0.9999247529,0.9914134794,0.01333290816,9.586562081e-15,100.0,100.0,-0.4349445611,-0.2970842868,-0.0001450786651,0.227708036,2.668981637e-05,0.616883794,5.362116701e+26,0.1049553663,0.2016593501,1.0,57.4078152,-24.95308086,20365.67,3.836544005e-15,-25.83206827,-8.0958063,-636.6844843,0.000609,-1.095732,-1.095064,-2.02612213,1.096881,0.911676
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,2,71,"(3,-3)",nuclear,37.0,-0.047474966635,-0.025122670431,0.4431585979,0.2215792989,0.2215792989,0.0,0.006968215959,0.003258012088,6.595159507,-6.602127723,-6.595159507,-26.35276517,0.9999109879,0.990666415,0.01354324789,2.228670935e-15,100.0,100.0,-0.4431585979,-0.2981808104,-0.0002858668058,0.3158689322,5.897921149e-06,0.6244304522,8.188348659e+26,0.1060362488,0.2049201499,1.0,59.91095827,-26.24727421,21124.3,9.104603703e-16,-26.35276517,-8.284498026,-676.1439496,0.00066,-1.090846,-1.090127,-2.073546085,1.091997,0.915754
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,3,141,"(3,-3)",nuclear,36.0,-0.071114639469,-0.037632246569,0.4431578159,0.2215789079,0.2215789079,0.0,0.006968387861,0.003257878788,6.595114643,-6.60208303,-6.595114643,-26.35258502,0.999910983,0.9906661597,0.0135432279,1.319390752e-15,100.0,100.0,-0.4431578159,-0.2981808573,-0.0002940484917,0.3159901098,-7.057114209e-06,0.6244315798,8.187398229e+26,0.1060369538,0.2049215646,1.0,59.91064774,-26.24729908,21124.09,5.389986658e-16,-26.35258502,-8.284435582,-676.130044,0.00066,-1.090848,-1.090128,-2.07353068,1.091998,0.915753
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,4,211,"(3,-3)",nuclear,29.0,-0.051075754066,-0.027028125082,302.6589791,151.3294895,151.3294895,0.0,74.80040699,22.16647844,1131877.426,-1131952.226,-1131877.426,-4527210.503,0.9999963539,0.9980941694,-0.6269419184,1.377300123e-12,100.0,100.0,-302.6589791,-292.3710706,-4.719439641e-05,31052.58083,5.696332101,18.32894996,4.490553662e+71,0.05857163152,0.09621430757,1.0,1332281.734,-42.61552716,835993400.0,7.380359301e-10,-4527210.503,-1509050.476,-3.436594582e+18,2e-06,-1.000021,-1.000018,-377314.7856,1.000021,0.999979
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,5,281,"(3,-3)",nuclear,35.0,-0.059107923723,-0.031278566218,0.4349463819,0.217473191,0.217473191,0.0,0.0062091597,0.002770133427,6.464267917,-6.470477077,-6.464267917,-25.83223503,0.9999247498,0.9914133035,0.01333295487,6.563963333e-15,100.0,100.0,-0.4349463819,-0.2970843197,-0.000146221672,0.2278793442,-1.38297428e-05,0.6168841476,5.362242293e+26,0.1049553757,0.2016600755,1.0,57.40788884,-24.9530887,20365.71,2.626911497e-15,-25.83223503,-8.095860869,-636.6968311,0.000609,-1.095731,-1.095064,-2.026135707,1.096881,0.911676
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,6,351,"(3,-3)",nuclear,15.0,-0.04480645488,-0.023710554824,122.6280584,61.31402922,61.31402922,0.0,8.691322959,2.203186978,243429.5599,-243438.2512,-243429.5599,-973683.4743,0.9999989998,0.9990009204,0.2999246297,9.73415261e-13,100.0,100.0,-122.6280584,-121.3978871,-0.001113934411,10929.50566,1.836679405e-05,9.973489362,4.928306823e+85,0.04651970719,0.06432453472,1.0,13765924.45,-40.5234621,8638230000.0,1.930843116e-10,-973683.4743,-324559.9189,-3.418925466e+16,1.1e-05,-1.000011,-1.0,-81145.29781,1.000015,0.999985
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,7,421,"(3,-3)",nuclear,14.0,-0.041411015541,-0.021913765705,122.5850435,61.29252175,61.29252175,0.0,8.742553316,2.40085321,243340.911,-243349.6536,-243340.911,-973328.6738,0.9999989868,0.9989944501,0.3000344604,4.030048894e-13,100.0,100.0,-122.5850435,-121.3978585,-0.01225938548,14435.81959,-2.165168826e-06,9.974663118,3.605849408e+89,0.04304124956,0.05985934907,1.0,28895538.23,-41.33298817,18132210000.0,7.990823703e-11,-973328.6738,-324441.9426,-3.415189361e+16,7e-06,-1.000008,-1.000001,-81115.94498,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,8,491,"(3,-3)",nuclear,13.0,-0.049863857258,-0.026386816909,122.5850356,61.29251781,61.29251781,0.0,8.742559454,2.400973277,243340.8843,-243349.6268,-243340.8843,-973328.5668,0.9999989868,0.9989944493,0.3000344805,3.486559112e-13,100.0,100.0,-122.5850356,-121.3978585,-0.01247402024,14448.89248,-2.496647414e-06,9.974663296,3.61862433e+89,0.04304079593,0.0598584574,1.0,28904055.4,-41.33298842,18137560000.0,6.913185908e-11,-973328.5668,-324441.9069,-3.415188234e+16,7e-06,-1.000008,-1.000001,-81115.93607,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,9,561,"(3,-3)",nuclear,12.0,-0.046644263757,-0.024683081399,122.628051,61.31402552,61.31402552,0.0,8.691331842,2.203194829,243429.525,-243438.2163,-243429.525,-973683.3346,0.9999989998,0.9990009193,0.2999246486,7.097726975e-13,100.0,100.0,-122.628051,-121.3978864,-0.001136484986,10940.57494,-1.66081536e-05,9.973489668,4.855262442e+85,0.04651824613,0.0643230331,1.0,13748805.35,-40.52347724,8627487000.0,1.40788797e-10,-973683.3346,-324559.8723,-3.418923994e+16,1.1e-05,-1.000011,-1.0,-81145.28615,1.000015,0.999985
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,10,631,"(3,-3)",nuclear,21.0,-0.031479419955,-0.016658191653,122.6717665,61.33588325,61.33588325,0.0,8.222938536,2.07358795,243541.9981,-243550.2211,-243541.9981,-974135.1008,0.9999991058,0.9990552717,0.299812952,1.386259078e-12,100.0,100.0,-122.6717665,-121.3925428,-0.0002876403396,7902.983322,9.146693154e-05,10.06877958,1.336303407e+77,0.05219342162,0.06822468979,1.0,2660170.149,-40.58532162,1669258000.0,2.750828305e-10,-974135.1008,-324709.7497,-3.423685104e+16,8e-06,-1.000013,-1.000005,-81182.63257,1.000018,0.999982
