bond_id,parent_bcp_index,functionalized_bcp_index,parent_atom_i,parent_atom_j,functionalized_atom_i,functionalized_atom_j,atom_symbol_i,atom_symbol_j,canonical_bond_label,bond_class,parent_bond_length_angstrom,functionalized_bond_length_angstrom,delta_bond_length_angstrom,parent_density_of_all_electrons,functionalized_density_of_all_electrons,delta_rho_bcp,parent_laplacian_of_electron_density,functionalized_laplacian_of_electron_density,delta_laplacian_bcp,parent_lagrangian_kinetic_energy_g_r,functionalized_lagrangian_kinetic_energy_g_r,delta_lagrangian_kinetic_energy_g_r,parent_hamiltonian_kinetic_energy_k_r,functionalized_hamiltonian_kinetic_energy_k_r,delta_hamiltonian_kinetic_energy_k_r,parent_potential_energy_density_v_r,functionalized_potential_energy_density_v_r,delta_potential_energy_density_v_r,parent_energy_density_e_r_or_h_r,functionalized_energy_density_e_r_or_h_r,delta_energy_density_e_r_or_h_r,parent_ellipticity_of_electron_density,functionalized_ellipticity_of_electron_density,delta_ellipticity_of_electron_density,parent_electron_localization_function_elf,functionalized_electron_localization_function_elf,delta_electron_localization_function_elf,parent_localized_orbital_locator_lol,functionalized_localized_orbital_locator_lol,delta_localized_orbital_locator_lol,parent_sign_lambda2_rho,functionalized_sign_lambda2_rho,delta_sign_lambda2_rho
cc_1,81,72,1,2,1,2,C,C,C1-C2,Aromatic C-C,1.4619651695028157,1.4610705769047934,-0.00089459259802238122,0.28292118859999998,0.28334303979999997,0.00042185119999998966,-0.81017181520000003,-0.81230592319999995,-0.0021341079999999124,0.071734980709999993,0.071985217360000006,0.00025023665000001305,0.27427793449999999,0.27506169819999998,0.00078376369999999529,-0.34601291519999999,-0.3470469155,-0.0010340003000000042,-0.27427793449999999,-0.27506169819999998,-0.00078376369999999529,0.080593999999999999,0.081152000000000002,0.00055800000000000294,0.95969482809999995,0.95961750779999999,-7.7320299999961151e-05,0.82994071619999998,0.82979966650000003,-0.00014104969999995109,-0.28292118859999998,-0.28334303979999997,-0.00042185119999998966
cc_2,73,58,1,6,1,6,C,C,C1-C6,Aromatic C-C,1.4258258278169067,1.4248286625747097,-0.00099716524219695124,0.30142767549999999,0.30199454440000001,0.00056686890000001711,-0.87254777309999998,-0.87535617919999997,-0.0028084060999999938,0.089786405489999999,0.090154959349999994,0.00036855385999999546,0.3079233488,0.3089940041,0.0010706553000000008,-0.39770975419999999,-0.39914896350000001,-0.0014392093000000217,-0.3079233488,-0.3089940041,-0.0010706553000000008,0.15629000000000001,0.156663,0.00037299999999998446,0.94942922860000001,0.94933652899999998,-9.269960000002353e-05,0.81250272879999996,0.81235567880000004,-0.00014704999999992641,-0.30142767549999999,-0.30199454440000001,-0.00056686890000001711
cc_3,85,77,1,20,1,20,C,C,C1-C20,Aromatic C-C,1.3947469993766011,1.3949848226996528,0.00023782332305177789,0.31694579140000001,0.31675870239999998,-0.00018708900000002915,-0.92925998379999997,-0.92834333769999999,0.00091664609999997371,0.1066383937,0.1065125171,-0.000125876600000005,0.33895338959999999,0.33859835150000001,-0.00035503809999998248,-0.44559178329999999,-0.44511086859999999,0.00048091470000000136,-0.33895338959999999,-0.33859835150000001,0.00035503809999998248,0.22301299999999999,0.22303400000000001,2.1000000000021002e-05,0.94024220410000003,0.94026432550000005,2.2121400000019165e-05,0.79867164059999995,0.79870331549999996,3.1674900000000505e-05,-0.31694579140000001,-0.31675870239999998,0.00018708900000002915
cc_4,76,64,2,3,2,3,C,C,C2-C3,Aromatic C-C,1.4258245099009776,1.4249027876902047,-0.00092172221077291283,0.3014284317,0.30193793270000002,0.0005095010000000233,-0.87255055150000005,-0.87501686020000002,-0.002466308699999975,0.089787000189999994,0.090137194530000006,0.00035019434000001237,0.30792463809999998,0.3088914096,0.00096677150000001877,-0.3977116382,-0.39902860410000002,-0.0013169659000000222,-0.30792463809999998,-0.3088914096,-0.00096677150000001877,0.15629199999999999,0.15682599999999999,0.00053400000000000669,0.94942899420000004,0.94932542549999999,-0.00010356870000005625,0.81250235670000004,0.81233808809999997,-0.0001642686000000726,-0.3014284317,-0.30193793270000002,-0.0005095010000000233
cc_5,87,83,2,7,2,7,C,C,C2-C7,Aromatic C-C,1.3947494297676968,1.3949892054771846,0.00023977570948785498,0.31694390119999999,0.31674767910000001,-0.00019622209999997642,-0.92925029510000001,-0.92819195440000002,0.0010583406999999934,0.10663673110000001,0.1065232195,-0.00011351160000000471,0.33894930490000003,0.33857120819999997,-0.00037809670000005235,-0.44558603600000002,-0.44509442770000002,0.00049160830000000155,-0.33894930490000003,-0.33857120819999997,0.00037809670000005235,0.22301799999999999,0.22328799999999999,0.00026999999999999247,0.94024283890000004,0.9402465216,3.682699999951744e-06,0.79867254919999997,0.798677835,5.2858000000322036e-06,-0.31694390119999999,-0.31674767910000001,0.00019622209999997642
cc_6,65,41,3,4,3,4,C,C,C3-C4,Aromatic C-C,1.4258313527614868,1.4248408079689867,-0.00099054479250004768,0.30142407900000001,0.30198576649999997,0.00056168749999996326,-0.87252839199999999,-0.87530407840000002,-0.0027756864000000325,0.089785033550000004,0.090152844120000006,0.00036781057000000172,0.3079171315,0.30897886369999999,0.0010617321999999985,-0.3977021651,-0.39913170780000001,-0.0014295427000000083,-0.3079171315,-0.30897886369999999,-0.0010617321999999985,0.15629599999999999,0.156671,0.00037500000000001421,0.94942878620000004,0.94933412549999996,-9.4660700000082088e-05,0.81250202719999998,0.81235187060000003,-0.00015015659999995101,-0.30142407900000001,-0.30198576649999997,-0.00056168749999996326
cc_7,72,54,3,10,3,10,C,C,C3-C10,Aromatic C-C,1.4272616207226956,1.4257693512150069,-0.0014922695076886594,0.29984014710000001,0.30066614899999999,0.00082600189999998408,-0.85889746649999998,-0.86396388719999995,-0.0050664206999999628,0.090406378329999995,0.090727497300000001,0.00032111897000000611,0.30513074489999997,0.3067184691,0.0015877242000000291,-0.39553712330000002,-0.39744596640000002,-0.0019088431000000017,-0.30513074489999997,-0.3067184691,-0.0015877242000000291,0.16458900000000001,0.16320699999999999,-0.0013820000000000221,0.94790198270000003,0.94800458249999997,0.00010259979999993618,0.81010194319999995,0.81026178609999999,0.00015984290000004009,-0.29984014710000001,-0.30066614899999999,-0.00082600189999998408
cc_8,57,28,4,5,4,5,C,C,C4-C5,Aromatic C-C,1.461972232788221,1.4610830460902504,-0.00088918669797055649,0.28291702099999999,0.28333506000000003,0.00041803900000003669,-0.81015145180000003,-0.81225808330000004,-0.0021066315000000113,0.071733132650000003,0.071983143530000002,0.00025001087999999838,0.27427099560000001,0.27504766429999999,0.00077666869999998278,-0.34600412819999998,-0.34703080790000002,-0.0010266797000000327,-0.27427099560000001,-0.27504766429999999,-0.00077666869999998278,0.080604999999999996,0.081192,0.00058700000000000419,0.95969492150000002,0.95961610230000005,-7.8819199999968781e-05,0.82994088710000002,0.82979710600000001,-0.00014378110000001776,-0.28291702099999999,-0.28333506000000003,-0.00041803900000003669
cc_9,53,23,4,13,4,13,C,C,C4-C13,Aromatic C-C,1.3947549137706534,1.3950016539705286,0.00024674019987513951,0.3169411291,0.3167489939,-0.00019213519999999873,-0.92923812920000004,-0.92829661230000005,0.00094151689999999455,0.106634325,0.10650479979999999,-0.000129525200000008,0.33894385729999998,0.3385789528,-0.00036490449999998509,-0.44557818240000002,-0.44508375259999999,0.00049442980000002912,-0.33894385729999998,-0.3385789528,0.00036490449999998509,0.22301099999999999,0.223019,8.0000000000080007e-06,0.9402437361,0.94026672570000003,2.2989600000022925e-05,0.79867383339999998,0.79870675189999996,3.2918499999978756e-05,-0.3169411291,-0.3167489939,0.00019213519999999873
cc_10,62,36,5,6,5,6,C,C,C5-C6,Aromatic C-C,1.4258301991398068,1.4249134962813463,-0.00091670285846046085,0.3014249322,0.30193045070000002,0.00050551850000002396,-0.87253451010000005,-0.8749731718,-0.0024386616999999555,0.089785573790000003,0.090135452180000006,0.00034987839000000243,0.3079192013,0.30887874510000002,0.00095954380000001782,-0.39770477510000002,-0.39901419729999998,-0.0013094221999999656,-0.3079192013,-0.30887874510000002,-0.00095954380000001782,0.156302,0.15684500000000001,0.00054300000000001569,0.94942866150000005,0.94932331150000004,-0.00010535000000000405,0.81250182920000003,0.81233473889999996,-0.0001670903000000612,-0.3014249322,-0.30193045070000002,-0.00050551850000002396
